Date,IPMAN,M1SL,M2MSL,M2SL,M3SL,UNRATE,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,95.6248,1102.6,3757.2,4761.5,6823.6,4.0,5.672,41.583149,44.94507911577621,0.8668619795018669,1.0021309758963268
2000-06-08,95.65354666666666,1102.81,3758.95,4765.606666666667,6835.64,4.0,5.735116666666666,40.832027,45.045861690657475,1.0865226091689917,1.2295504959919965
2000-06-15,95.68229333333333,1103.02,3760.7,4769.713333333333,6847.68,4.0,5.798233333333333,40.091328,45.14664426553876,1.3034957045622975,1.4541875522673684
2000-06-22,95.71104,1103.23,3762.45,4773.820000000001,6859.72,4.0,5.86135,39.402802,45.24742684042004,1.5070161734883463,1.664896806096548
2000-06-29,95.73978666666667,1103.44,3764.2,4777.926666666667,6871.76,4.0,5.9244666666666665,39.115768,45.34820941530134,1.6070133275658987,1.768426076797957
2000-07-06,95.647,1102.967741935484,3767.78064516129,4783.6322580645165,6886.458064516129,4.016129032258064,5.96508064516129,40.128914,45.256966333424785,1.3222504465163252,1.4736047524327625
2000-07-13,95.5056,1102.2225806451613,3772.0935483870967,4789.977419354839,6902.2193548387095,4.038709677419354,5.996693548387096,40.880955,45.08891298884512,1.0850073220599288,1.2279816856518255
2000-07-20,95.3642,1101.4774193548387,3776.4064516129033,4796.322580645161,6917.98064516129,4.061290322580645,6.028306451612903,40.160244,44.92085964426543,1.2275081750420858,1.375515978199089
2000-07-27,95.22279999999999,1100.7322580645161,3780.71935483871,4802.667741935484,6933.741935483871,4.083870967741936,6.059919354838709,39.251545,44.752806299685744,1.4184810795513985,1.5732344603895463
2000-08-03,95.15067741935484,1100.167741935484,3785.703225806452,4809.496774193548,6948.774193548387,4.087096774193548,6.078596774193548,41.048058,44.67838016976283,0.9360659365114551,1.0737793669425142
2000-08-10,95.25174838709677,1100.0548387096774,3792.3645161290324,4817.535483870967,6961.9838709677415,4.041935483870968,6.0649354838709675,41.497189,44.838022076481835,0.8614221813458818,0.9964990322570584
2000-08-17,95.3528193548387,1099.941935483871,3799.025806451613,4825.5741935483875,6975.193548387097,3.996774193548387,6.051274193548387,41.852318,44.99766398320086,0.8110165147160489,0.9443129280269541
2000-08-24,95.45389032258065,1099.8290322580647,3805.687096774194,4833.612903225807,6988.403225806452,3.9516129032258065,6.037612903225806,41.925423,45.15730588991987,0.8333297549307654,0.9674143203388132
