Date,Value,Percent Stock
2008-06-01,9987.000000,100
2008-07-01,9135.000000,100
2008-08-01,9311.000000,100
2008-09-01,9332.000000,100
2008-10-01,8582.000000,99
2008-11-01,7626.000000,99
2008-12-01,7160.000000,99
2009-01-01,7368.000000,99
2009-02-01,6689.000000,99
2009-03-01,5863.000000,99
2009-04-01,6635.000000,99
2009-05-01,8663.000000,67
2009-06-01,9897.000000,38
2009-07-01,10253.000000,63
2009-08-01,11358.000000,24
2009-09-01,11624.000000,10
2009-10-01,11788.000000,25
2009-11-01,11812.000000,0
2009-12-01,12232.000000,9
2010-01-01,12234.000000,0
2010-02-01,13149.000000,36
2010-03-01,13333.000000,0
2010-04-01,13333.000000,0
2010-05-01,13333.000000,0
2010-06-01,13488.000000,76
2010-07-01,13115.000000,75
2010-08-01,13818.000000,76
2010-09-01,13758.000000,99
2010-10-01,15915.000000,59
2010-11-01,16216.000000,99
2010-12-01,16302.000000,99
2011-01-01,16972.000000,99
2011-02-01,17522.000000,99
2011-03-01,17757.000000,99
2011-04-01,17916.000000,99
2011-05-01,18077.000000,99
2011-06-01,17575.000000,99
2011-07-01,17916.000000,99
2011-08-01,16563.000000,99
2011-09-01,15748.000000,99
2011-10-01,15290.000000,99
2011-11-01,16809.000000,99
2011-12-01,16621.000000,99
2012-01-01,17048.000000,99
2012-02-01,18024.000000,99
2012-03-01,18306.000000,99
2012-04-01,18623.000000,99
2012-05-01,18325.000000,99
2012-06-01,17178.000000,99
2012-07-01,18124.000000,99
2012-08-01,18476.000000,99
2012-09-01,18797.000000,99
2012-10-01,19314.000000,99
2012-11-01,19114.000000,99
2012-12-01,19127.000000,99
2013-01-01,19738.000000,99
2013-02-01,21531.000000,74
2013-03-01,22364.000000,81
2013-04-01,23244.000000,67
2013-05-01,23934.000000,59
2013-06-01,25134.000000,45
2013-07-01,25332.000000,64
2013-08-01,26875.000000,24
2013-09-01,28214.000000,37
2013-10-01,28937.000000,60
2013-11-01,29538.000000,61
2013-12-01,29900.000000,1
2014-01-01,29986.000000,74
2014-02-01,29471.000000,100
2014-03-01,31219.000000,87
2014-04-01,31804.000000,87
2014-05-01,31997.000000,87
2014-06-01,35724.000000,50
2014-07-01,36605.000000,92
2014-08-01,35966.000000,92
2014-09-01,39230.000000,76
2014-10-01,38632.000000,99
2014-11-01,39872.000000,99
2014-12-01,40434.000000,99
2015-01-01,40550.000000,99
2015-02-01,39841.000000,99
2015-03-01,40806.000000,99
2015-04-01,40283.000000,99
2015-05-01,40797.000000,99
2015-06-01,41025.000000,99
2015-07-01,40626.000000,99
2015-08-01,40557.000000,99
2015-09-01,38221.000000,99
2015-10-01,37552.000000,99
2015-11-01,40148.000000,99
2015-12-01,39674.000000,99
2016-01-01,39239.000000,99
2016-02-01,37363.000000,99
2016-03-01,38937.000000,99
2016-04-01,40136.000000,99
2016-05-01,40869.000000,99
2016-06-01,41356.000000,99
2016-07-01,41511.000000,99
2016-08-01,42344.000000,99
2016-09-01,42669.000000,99
2016-10-01,42313.000000,99
2016-11-01,41692.000000,99
2016-12-01,46074.000000,81
2017-01-01,47085.000000,2
2017-02-01,48327.000000,69
2017-03-01,50608.000000,11
2017-04-01,52934.000000,47
2017-05-01,52908.000000,47
2017-06-01,53596.000000,67
2017-07-01,53924.000000,67
2017-08-01,54478.000000,67
2017-09-01,54164.000000,100
2017-10-01,58828.000000,37
2017-11-01,64846.000000,45
2017-12-01,66614.000000,18
2018-01-01,67002.000000,1
2018-02-01,67017.000000,1
2018-03-01,69692.000000,76
2018-04-01,69487.000000,100
2018-05-01,68984.000000,100
2018-06-01,69839.000000,100
2018-07-01,70121.000000,100
2018-08-01,73533.000000,85
