Date,Value,Percent Stock
2008-06-01,9974.000000,39
2008-07-01,9632.000000,100
2008-08-01,10411.000000,64
2008-09-01,10742.000000,49
2008-10-01,10298.000000,100
2008-11-01,9931.000000,80
2008-12-01,9413.000000,100
2009-01-01,9701.000000,100
2009-02-01,9161.000000,56
2009-03-01,8619.000000,90
2009-04-01,10502.000000,22
2009-05-01,10611.000000,0
2009-06-01,10611.000000,0
2009-07-01,10611.000000,0
2009-08-01,10611.000000,0
2009-09-01,10624.000000,0
2009-10-01,10725.000000,0
2009-11-01,10776.000000,0
2009-12-01,10776.000000,0
2010-01-01,10776.000000,0
2010-02-01,10776.000000,0
2010-03-01,10789.000000,0
2010-04-01,10788.000000,0
2010-05-01,10889.000000,0
2010-06-01,10940.000000,0
2010-07-01,10940.000000,0
2010-08-01,10940.000000,0
2010-09-01,11684.000000,24
2010-10-01,11944.000000,5
2010-11-01,12551.000000,17
2010-12-01,12859.000000,33
2011-01-01,13252.000000,14
2011-02-01,13314.000000,15
2011-03-01,13340.000000,15
2011-04-01,13357.000000,15
2011-05-01,13447.000000,0
2011-06-01,13859.000000,62
2011-07-01,14018.000000,63
2011-08-01,13517.000000,72
2011-09-01,13047.000000,100
2011-10-01,12686.000000,100
2011-11-01,14050.000000,65
2011-12-01,13941.000000,100
2012-01-01,14647.000000,77
2012-02-01,16579.000000,42
2012-03-01,17401.000000,22
2012-04-01,17799.000000,11
2012-05-01,17953.000000,23
2012-06-01,17697.000000,83
2012-07-01,19516.000000,41
2012-08-01,20002.000000,20
2012-09-01,20508.000000,35
2012-10-01,22014.000000,51
2012-11-01,22485.000000,32
2012-12-01,22490.000000,32
2013-01-01,23017.000000,54
2013-02-01,23617.000000,1
2013-03-01,23618.000000,1
2013-04-01,23624.000000,1
2013-05-01,23632.000000,1
2013-06-01,23651.000000,1
2013-07-01,23649.000000,1
2013-08-01,23817.000000,1
2013-09-01,24011.000000,1
2013-10-01,24016.000000,1
2013-11-01,24982.000000,15
2013-12-01,25054.000000,0
2014-01-01,25740.000000,11
2014-02-01,25884.000000,22
2014-03-01,26249.000000,22
2014-04-01,26376.000000,23
2014-05-01,26418.000000,23
2014-06-01,26962.000000,9
2014-07-01,28839.000000,23
2014-08-01,29791.000000,43
2014-09-01,30278.000000,1
2014-10-01,32337.000000,34
2014-11-01,32688.000000,0
2014-12-01,32756.000000,0
2015-01-01,35373.000000,16
2015-02-01,37339.000000,27
2015-03-01,37576.000000,28
2015-04-01,38301.000000,24
2015-05-01,39254.000000,11
2015-06-01,39442.000000,0
2015-07-01,39750.000000,22
2015-08-01,39736.000000,22
2015-09-01,40924.000000,75
2015-10-01,40542.000000,100
2015-11-01,44073.000000,30
2015-12-01,48907.000000,39
2016-01-01,51954.000000,63
2016-02-01,50468.000000,100
2016-03-01,52465.000000,100
2016-04-01,56248.000000,55
2016-05-01,59917.000000,68
2016-06-01,60372.000000,68
2016-07-01,60528.000000,69
2016-08-01,61450.000000,20
2016-09-01,65348.000000,41
2016-10-01,65412.000000,99
2016-11-01,64518.000000,99
2016-12-01,70666.000000,27
2017-01-01,71143.000000,1
2017-02-01,80685.000000,29
2017-03-01,81520.000000,0
2017-04-01,83781.000000,26
2017-05-01,84951.000000,7
2017-06-01,90834.000000,61
2017-07-01,99809.000000,47
2017-08-01,106832.000000,37
2017-09-01,107262.000000,55
2017-10-01,112044.000000,20
2017-11-01,113212.000000,5
2017-12-01,113339.000000,5
2018-01-01,114192.000000,5
2018-02-01,114404.000000,5
2018-03-01,114087.000000,5
2018-04-01,114429.000000,85
2018-05-01,129148.000000,59
2018-06-01,143218.000000,46
2018-07-01,150077.000000,22
2018-08-01,151183.000000,0
