Date,CE16OV,EXUSEU,IPMAN,M1SL,M1V,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2008-12-11,142976.4193548387,1.3424870967741935,91.35087741935483,1598.274193548387,9.384967741935483,7.461290322580645,34.901684,42.66747875390837,2.2054419751385765,3.715677559912441
2008-12-18,142701.61290322582,1.336458064516129,90.70875161290321,1594.616129032258,9.294645161290322,7.574193548387097,35.130531,40.79130749684724,1.6076286450580746,2.9901468508403903
2008-12-25,142426.8064516129,1.3304290322580645,90.06662580645161,1590.958064516129,9.204322580645162,7.687096774193548,34.207283,38.91513623978625,1.3370038066730054,2.661705477912845
2009-01-01,142152.0,1.3244,89.4245,1587.3,9.114,7.8,36.885708,37.03896498272515,0.043524119989781784,1.0918856244090778
2009-01-08,142036.38709677418,1.3143064516129033,89.41264516129031,1583.416129032258,9.114,7.912903225806452,35.130772,36.57514745754038,0.4101944955880213,1.5368917897411252
2009-01-15,141920.7741935484,1.3042129032258065,89.40079032258065,1579.532258064516,9.114,8.025806451612903,32.865295,36.11132993235567,0.9218556399498397,2.1578646824390133
2009-01-22,141805.16129032258,1.2941193548387098,89.38893548387097,1575.648387096774,9.114,8.138709677419355,32.003777,35.647512407170936,1.0348003350499388,2.2949389840623424
2009-01-29,141689.5483870968,1.284025806451613,89.37708064516129,1571.7645161290322,9.114,8.251612903225807,31.660769,35.18369488198608,1.000491110265811,2.2532999055526868
2009-02-05,141506.7142857143,1.2833142857142859,89.14682857142857,1571.5857142857142,9.114,8.357142857142858,32.913151,35.14716145199813,0.6344463869915353,1.8090530574713553
2009-02-12,141273.4642857143,1.2896392857142858,88.75277857142856,1574.1857142857143,9.114,8.457142857142857,31.054516,35.43109109340772,1.2429226787753607,2.5475247730016903
2009-02-19,141040.2142857143,1.2959642857142857,88.35872857142857,1576.7857142857142,9.114,8.557142857142857,28.54973,35.715020734817365,2.0349022156019005,3.5087035323427314
2009-02-26,140806.9642857143,1.3022892857142856,87.96467857142858,1579.3857142857144,9.114,8.657142857142857,27.504742,35.998950376226965,2.4123073416376934,3.9667378298772187
2009-03-05,140700.4193548387,1.3069225806451612,87.72159354838709,1584.6161290322582,9.075161290322582,8.738709677419354,25.143549,35.55543888965273,2.9569180915584163,4.627699711582055
2009-03-12,140688.90322580645,1.3102870967741935,87.59173225806451,1591.8193548387096,9.007193548387097,8.806451612903226,28.469952,34.56634655709043,1.7313417208775523,3.1402900997517245
2009-03-19,140677.38709677418,1.3136516129032259,87.46187096774193,1599.0225806451613,8.939225806451613,8.874193548387096,28.972509,33.57725422452827,1.3077217110177293,2.6261675289329727
2009-03-26,140665.87096774194,1.3170161290322582,87.33200967741935,1606.225806451613,8.87125806451613,8.941935483870967,30.695543,32.58816189196598,0.5374931065724236,1.6913865907837238
2009-04-02,140642.4,1.32139,87.19012,1612.5666666666668,8.813,9.013333333333334,32.01078,31.725015961070497,-0.08115537770594163,0.9405694863802654
2009-04-09,140547.2,1.33182,86.97605999999999,1613.7333333333333,8.813,9.106666666666667,32.905563,31.617548440175256,-0.36578888122139636,0.5951266244698075
2009-04-16,140452.0,1.34225,86.762,1614.9,8.813,9.2,33.79229,31.510080919280128,-0.6481345261061511,0.2524604013712759
