Date,Value,Percent Stock
2008-06-01,9974.000000,25
2008-07-01,9750.000000,100
2008-08-01,9941.000000,100
2008-09-01,9964.000000,100
2008-10-01,9147.000000,100
2008-11-01,8108.000000,100
2008-12-01,7600.000000,99
2009-01-01,7826.000000,99
2009-02-01,7088.000000,99
2009-03-01,6188.000000,99
2009-04-01,7766.000000,53
2009-05-01,7984.000000,20
2009-06-01,8047.000000,0
2009-07-01,8046.000000,0
2009-08-01,8049.000000,0
2009-09-01,8050.000000,0
2009-10-01,8089.000000,0
2009-11-01,8145.000000,0
2009-12-01,8179.000000,1
2010-01-01,8180.000000,1
2010-02-01,8178.000000,1
2010-03-01,8180.000000,1
2010-04-01,8182.000000,1
2010-05-01,8220.000000,1
2010-06-01,8634.000000,74
2010-07-01,8404.000000,98
2010-08-01,9209.000000,84
2010-09-01,9158.000000,84
2010-10-01,10322.000000,49
2010-11-01,10545.000000,96
2010-12-01,11351.000000,80
2011-01-01,12394.000000,73
2011-02-01,12696.000000,99
2011-03-01,12865.000000,99
2011-04-01,13327.000000,86
2011-05-01,13772.000000,57
2011-06-01,13551.000000,99
2011-07-01,14305.000000,85
2011-08-01,13393.000000,100
2011-09-01,12750.000000,100
2011-10-01,12388.000000,100
2011-11-01,13579.000000,100
2011-12-01,13433.000000,100
2012-01-01,13765.000000,100
2012-02-01,14748.000000,69
2012-03-01,15268.000000,54
2012-04-01,15997.000000,20
2012-05-01,16251.000000,48
2012-06-01,16176.000000,85
2012-07-01,17043.000000,32
2012-08-01,18743.000000,39
2012-09-01,19149.000000,37
2012-10-01,19328.000000,38
2012-11-01,19258.000000,37
2012-12-01,20765.000000,48
2013-01-01,21177.000000,48
2013-02-01,21784.000000,3
2013-03-01,23830.000000,16
2013-04-01,23909.000000,17
2013-05-01,23998.000000,0
2013-06-01,23999.000000,0
2013-07-01,23999.000000,0
2013-08-01,24124.000000,0
2013-09-01,24286.000000,0
2013-10-01,24287.000000,0
2013-11-01,24385.000000,0
2013-12-01,24387.000000,0
2014-01-01,24509.000000,0
2014-02-01,25374.000000,10
2014-03-01,25605.000000,0
2014-04-01,25607.000000,0
2014-05-01,25979.000000,14
2014-06-01,26108.000000,0
2014-07-01,27216.000000,21
2014-08-01,27854.000000,32
2014-09-01,28566.000000,6
2014-10-01,28735.000000,41
2014-11-01,30221.000000,25
2014-12-01,30388.000000,25
2015-01-01,31051.000000,37
2015-02-01,31296.000000,91
2015-03-01,34421.000000,70
2015-04-01,34155.000000,70
2015-05-01,35979.000000,54
2015-06-01,37056.000000,19
2015-07-01,38310.000000,45
2015-08-01,38624.000000,61
2015-09-01,37393.000000,100
2015-10-01,36775.000000,100
2015-11-01,40811.000000,62
2015-12-01,40834.000000,96
2016-01-01,40432.000000,95
2016-02-01,38699.000000,95
2016-03-01,40150.000000,95
2016-04-01,41257.000000,96
2016-05-01,42012.000000,41
2016-06-01,42853.000000,87
2016-07-01,46188.000000,73
2016-08-01,49146.000000,39
2016-09-01,49287.000000,39
2016-10-01,49256.000000,98
2016-11-01,54361.000000,74
2016-12-01,57395.000000,28
2017-01-01,57772.000000,0
2017-02-01,59113.000000,18
2017-03-01,59488.000000,0
2017-04-01,59488.000000,0
2017-05-01,59488.000000,0
2017-06-01,60201.000000,27
2017-07-01,60811.000000,27
2017-08-01,63307.000000,18
2017-09-01,65767.000000,64
2017-10-01,67962.000000,24
2017-11-01,72479.000000,35
2017-12-01,73580.000000,3
2018-01-01,73844.000000,3
2018-02-01,73899.000000,3
2018-03-01,73778.000000,3
2018-04-01,75153.000000,60
2018-05-01,81140.000000,39
2018-06-01,81542.000000,39
2018-07-01,81784.000000,39
2018-08-01,83346.000000,5
