Date,IPMAN,M1SL,M2MSL,M2SL,M3SL,UNRATE,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2012-12-27,100.78922258064516,2473.1774193548385,9829.135483870969,10467.95806451613,10298.7,7.983870967741936,0.07459677419354839,57.506542,64.94631322284044,1.9178495939046165,2.229563724515248
2013-01-03,100.7699,2475.3645161290324,9835.035483870968,10471.909677419355,10298.7,7.980645161290322,0.07612903225806451,60.236969,64.96891085206056,1.2198161055669912,1.7705891954734745
2013-01-10,100.8959,2474.8903225806453,9836.209677419356,10470.893548387097,10298.7,7.912903225806452,0.08008064516129032,60.413136,65.16975774545074,1.2261781726384424,1.774772414168047
2013-01-17,101.0219,2474.416129032258,9837.383870967742,10469.87741935484,10298.7,7.845161290322581,0.08403225806451613,61.249889,65.370604638841,1.0622521281683102,1.6669869277760692
2013-01-24,101.1479,2473.941935483871,9838.558064516128,10468.861290322582,10298.7,7.77741935483871,0.08798387096774193,62.289207,65.57145153223124,0.8461081872934271,1.5248668645903627
2013-01-31,101.2739,2473.467741935484,9839.732258064516,10467.845161290323,10298.7,7.709677419354839,0.09193548387096774,62.861721,65.7722984256214,0.7502985732435953,1.4618696399286626
2013-02-07,101.26974285714286,2475.0285714285715,9855.757142857143,10483.0,10298.7,7.6571428571428575,0.09282142857142857,62.967426,65.90314072226307,0.7567785512848674,1.4661303880437377
2013-02-14,101.24389285714285,2476.9285714285716,9874.257142857143,10500.85,10298.7,7.607142857142858,0.09319642857142857,63.170006,66.02231558611331,0.7352780908939208,1.4519932959887174
2013-02-21,101.21804285714286,2478.8285714285716,9892.757142857143,10518.7,10298.7,7.557142857142857,0.09357142857142857,63.16119,66.14149044996356,0.7682720121996067,1.4736876269134163
2013-02-28,101.19219285714286,2480.7285714285713,9911.257142857143,10536.550000000001,10298.7,7.507142857142857,0.09394642857142857,63.16119,66.26066531381376,0.7989933149645446,1.4938876541379944
2013-03-07,101.1116806451613,2487.658064516129,9922.164516129033,10545.970967741936,10298.7,7.519354838709678,0.08790322580645162,64.64093,66.33405313252871,0.43645905430287746,1.2555122834305437
2013-03-14,101.02205806451613,2495.425806451613,9931.806451612903,10553.987096774194,10298.7,7.541935483870968,0.08079032258064517,65.222237,66.39980977705451,0.3035587257486767,1.1681269835462524
2013-03-21,100.93243548387098,2503.193548387097,9941.448387096774,10562.003225806451,10298.7,7.564516129032258,0.07367741935483871,64.949196,66.46556642158032,0.39089513778442136,1.225552865329901
2013-03-28,100.8428129032258,2510.9612903225807,9951.090322580645,10570.01935483871,10298.7,7.587096774193548,0.06656451612903226,65.002045,66.53132306610608,0.3942225144026715,1.227740698925024
2013-04-04,100.81677,2516.9300000000003,9961.24,10578.24,10298.7,7.59,0.06065,64.920853,66.6387189368517,0.4428373387691039,1.259706165469001
2013-04-11,100.8755,2520.5,9972.066666666668,10586.733333333334,10298.7,7.566666666666666,0.05633333333333333,66.239975,66.80163377589044,0.14478631438927222,1.063730140205604
2013-04-18,100.93423,2524.0699999999997,9982.893333333333,10595.226666666667,10298.7,7.543333333333333,0.05201666666666667,64.726082,66.96454861492916,0.577039556704523,1.3479474902798787
2013-04-25,100.99296,2527.64,9993.72,10603.72,10298.7,7.52,0.0477,65.956688,67.12746345396786,0.30180648862593595,1.166974843682455
2013-05-02,101.0518870967742,2530.7129032258063,10005.206451612903,10612.774193548386,10298.7,7.5,0.044274193548387096,67.054489,67.2695808683434,0.0554471152403349,1.0049873756542855
2013-05-09,101.11199677419356,2530.8032258064513,10020.651612903226,10625.193548387097,10298.7,7.5,0.04619354838709677,67.842453,67.28691373473947,-0.14320880607283104,0.8743661240246374
2013-05-16,101.1721064516129,2530.8935483870964,10036.096774193547,10637.612903225807,10298.7,7.5,0.04811290322580645,69.497978,67.3042466011356,-0.565507560169519,0.5966940996665366
2013-05-23,101.23221612903225,2530.983870967742,10051.54193548387,10650.032258064517,10298.7,7.5,0.050032258064516125,68.834015,67.32157946753165,-0.3898807886519787,0.7121731076097796
2013-05-30,101.29232580645161,2531.074193548387,10066.987096774194,10662.451612903225,10298.7,7.5,0.05195161290322581,68.134598,67.3389123339277,-0.20511456412363613,0.8336615351745973
2013-06-06,101.12895,2533.333333333333,10082.516666666666,10675.4,10298.7,7.466666666666667,0.04958333333333333,68.851692,67.27458241084847,-0.40655268750892515,0.7012109158898345
2013-06-13,100.87618,2536.46,10098.08,10688.56,10298.7,7.42,0.0455,68.214272,67.17758737197913,-0.26724009829134154,0.7928124380145203
2013-06-20,100.62341,2539.5866666666666,10113.643333333333,10701.72,10298.7,7.373333333333333,0.04141666666666667,66.895126,67.08059233310975,0.0478101437508584,0.999965875323355
2013-06-27,100.37064000000001,2542.713333333333,10129.206666666667,10714.88,10298.7,7.326666666666666,0.037333333333333336,67.081039,66.98359729424041,-0.025118855166766766,0.9520132290808082
2013-07-04,100.31841612903226,2545.1387096774192,10144.1,10728.022580645162,10298.7,7.290322580645161,0.035677419354838716,68.493813,67.04721903940504,-0.37290792374831994,0.7233331920552962
2013-07-11,100.5335870967742,2546.6290322580644,10158.1,10741.14193548387,10298.7,7.267741935483871,0.037258064516129036,70.416702,67.32499649661499,-0.7969903867387758,0.4444883343544651
2013-07-18,100.74875806451614,2548.1193548387096,10172.1,10754.26129032258,10298.7,7.245161290322581,0.038838709677419356,71.422661,67.6027739538249,-0.9847035077876292,0.3210622484032891
2013-07-25,100.96392903225806,2549.6096774193547,10186.1,10767.38064516129,10298.7,7.22258064516129,0.04041935483870968,71.235687,67.88055141103484,-0.8648982924417203,0.39983718285677816
2013-08-01,101.1791,2551.1,10200.1,10780.5,10298.7,7.2,0.042,71.903374,68.15832886824478,-0.9654105038930237,0.3337478824370027
2013-08-08,101.19915161290324,2558.4612903225807,10212.993548387098,10792.264516129033,10298.7,7.2,0.036467741935483876,70.9695,68.3677086831036,-0.670698637239712,0.5275283277310552
2013-08-15,101.21920322580645,2565.822580645161,10225.887096774193,10804.029032258064,10298.7,7.2,0.030935483870967746,69.5086,68.5770884979624,-0.24012821125677522,0.8106391838526871
2013-08-22,101.23925483870968,2573.1838709677418,10238.78064516129,10815.793548387097,10298.7,7.2,0.025403225806451615,69.066,68.78646831282117,-0.07205863146618588,0.9211491486601686
2013-08-29,101.2593064516129,2580.5451612903225,10251.674193548388,10827.55806451613,10298.7,7.2,0.01987096774193549,68.216,68.99584812768002,0.20103190947414562,1.1007130299180066
2013-09-05,101.28446,2588.7799999999997,10272.586666666668,10847.56,10298.7,7.2,0.021500000000000002,68.8977,69.24701262821854,0.09004700038597568,1.0277376680900243
2013-09-12,101.31344,2597.67,10299.513333333334,10873.74,10298.7,7.2,0.0285,70.1904,69.52951564301698,-0.17036502302202294,0.8565102301555699
2013-09-19,101.34242,2606.56,10326.44,10899.92,10298.7,7.2,0.035500000000000004,71.6777,69.81201865781539,-0.4809416979757742,0.6522982754286774
2013-09-26,101.3714,2615.4500000000003,10353.366666666667,10926.099999999999,10298.7,7.2,0.0425,70.5326,70.09452167261378,-0.11292932499009163,0.8942756424098894
2013-10-03,101.39212580645162,2621.967741935484,10373.387096774193,10945.367741935483,10298.7,7.180645161290323,0.04856451612903226,69.5976,70.335138448862,0.19012517620118197,1.0935415791911018
2013-10-10,101.39221612903226,2622.5548387096774,10376.14193548387,10947.354838709676,10298.7,7.112903225806452,0.052290322580645164,70.5237,70.47103962873472,-0.01357497006573864,0.9596036231178835
2013-10-17,101.3923064516129,2623.1419354838713,10378.896774193548,10949.341935483872,10298.7,7.045161290322581,0.05601612903225807,72.082,70.60694080860748,-0.38024578800386094,0.7185083622339075
2013-10-24,101.39239677419354,2623.7290322580648,10381.651612903226,10951.329032258065,10298.7,6.97741935483871,0.05974193548387097,72.6073,70.74284198848021,-0.48062634362569023,0.6525056288246524
2013-10-31,101.39248709677419,2624.3161290322582,10384.406451612902,10953.316129032259,10298.7,6.909677419354839,0.06346774193548388,72.7943,70.87874316835297,-0.4937987717144989,0.6438444269204346
2013-11-07,101.39728,2632.34,10397.039999999999,10966.06,10298.7,6.86,0.06470000000000001,72.6964,71.2113772818748,-0.3828142198985752,0.7168195538329527
2013-11-14,101.40285666666666,2641.6033333333335,10411.32,10980.596666666666,10298.7,6.8133333333333335,0.06551666666666667,74.3348,71.5768002176715,-0.7109665880973514,0.5010511399038962
2013-11-21,101.40843333333333,2650.866666666667,10425.6,10995.133333333333,10298.7,6.766666666666667,0.06633333333333334,74.7622,71.94222315346818,-0.7269432470366544,0.49054608587018356
2013-11-28,101.41400999999999,2660.13,10439.88,11009.67,10298.7,6.720000000000001,0.06715,74.9581,72.30764608926488,-0.6832430466088374,0.5192800638891394
2013-12-05,101.25952258064515,2668.5,10453.561290322581,11022.429032258064,10298.7,6.687096774193549,0.06498387096774194,73.7471,72.45059463257354,-0.3342175744302889,0.7487730672953733
2013-12-12,100.98498709677419,2676.2,10466.793548387097,11033.854838709678,10298.7,6.664516129032258,0.060580645161290324,73.5156,72.42668738151613,-0.2807036077595393,0.7839598428014569
2013-12-19,100.71045161290323,2683.8999999999996,10480.025806451613,11045.28064516129,10298.7,6.641935483870967,0.05617741935483871,74.8513,72.40278013045872,-0.6311878009165799,0.5535076937592434
