Date,Value,Percent Stock
2008-06-01,9974.000000,91
2008-07-01,9185.000000,100
2008-08-01,9363.000000,100
2008-09-01,11136.000000,74
2008-10-01,12078.000000,57
2008-11-01,11284.000000,0
2008-12-01,12046.000000,33
2009-01-01,12161.000000,100
2009-02-01,11244.000000,45
2009-03-01,10515.000000,100
2009-04-01,13134.000000,83
2009-05-01,13761.000000,1
2009-06-01,15890.000000,11
2009-07-01,16862.000000,55
2009-08-01,17810.000000,3
2009-09-01,17826.000000,3
2009-10-01,18830.000000,61
2009-11-01,18999.000000,61
2009-12-01,19677.000000,7
2010-01-01,19896.000000,62
2010-02-01,20643.000000,31
2010-03-01,21808.000000,27
2010-04-01,22254.000000,62
2010-05-01,22195.000000,1
2010-06-01,22254.000000,99
2010-07-01,21365.000000,99
2010-08-01,22883.000000,99
2010-09-01,22735.000000,99
2010-10-01,23410.000000,99
2010-11-01,27394.000000,65
2010-12-01,28771.000000,73
2011-01-01,29689.000000,99
2011-02-01,33229.000000,47
2011-03-01,33425.000000,99
2011-04-01,34371.000000,56
2011-05-01,36412.000000,32
2011-06-01,36819.000000,13
2011-07-01,36932.000000,99
2011-08-01,34277.000000,99
2011-09-01,32677.000000,99
2011-10-01,31778.000000,99
2011-11-01,39162.000000,53
2011-12-01,38937.000000,100
2012-01-01,39867.000000,100
2012-02-01,42725.000000,62
2012-03-01,44743.000000,19
2012-04-01,46139.000000,50
2012-05-01,47503.000000,78
2012-06-01,45340.000000,100
2012-07-01,49253.000000,33
2012-08-01,52756.000000,64
2012-09-01,53308.000000,65
2012-10-01,55641.000000,29
2012-11-01,58470.000000,41
2012-12-01,60766.000000,51
2013-01-01,63124.000000,89
2013-02-01,66538.000000,21
2013-03-01,71947.000000,47
2013-04-01,73271.000000,24
2013-05-01,74075.000000,15
2013-06-01,78536.000000,27
2013-07-01,78422.000000,27
2013-08-01,80183.000000,15
2013-09-01,83345.000000,45
2013-10-01,84208.000000,46
2013-11-01,88916.000000,28
2013-12-01,89428.000000,0
2014-01-01,91157.000000,22
2014-02-01,91620.000000,64
2014-03-01,95850.000000,33
2014-04-01,98057.000000,51
2014-05-01,98586.000000,99
2014-06-01,101697.000000,30
2014-07-01,104820.000000,85
2014-08-01,112653.000000,69
2014-09-01,119169.000000,45
2014-10-01,119123.000000,84
2014-11-01,125013.000000,37
2014-12-01,132066.000000,58
2015-01-01,133834.000000,31
2015-02-01,133260.000000,99
2015-03-01,153060.000000,61
2015-04-01,151889.000000,61
2015-05-01,161656.000000,33
2015-06-01,166124.000000,58
2015-07-01,168177.000000,89
2015-08-01,172111.000000,63
2015-09-01,166432.000000,100
2015-10-01,163729.000000,100
2015-11-01,180924.000000,78
2015-12-01,179357.000000,78
2016-01-01,180976.000000,89
2016-02-01,173555.000000,100
2016-03-01,180485.000000,100
2016-04-01,191817.000000,50
2016-05-01,193449.000000,50
2016-06-01,200288.000000,82
2016-07-01,207723.000000,43
2016-08-01,218319.000000,63
2016-09-01,224842.000000,43
2016-10-01,224598.000000,99
2016-11-01,246263.000000,74
2016-12-01,272309.000000,53
2017-01-01,281533.000000,12
2017-02-01,291671.000000,39
2017-03-01,310280.000000,59
2017-04-01,313581.000000,76
2017-05-01,316211.000000,15
2017-06-01,337109.000000,44
2017-07-01,338439.000000,44
2017-08-01,343066.000000,40
2017-09-01,342668.000000,86
2017-10-01,378112.000000,67
2017-11-01,384559.000000,93
2017-12-01,417362.000000,60
2018-01-01,436727.000000,45
2018-02-01,461007.000000,28
2018-03-01,454628.000000,99
2018-04-01,452987.000000,99
2018-05-01,449712.000000,99
2018-06-01,455700.000000,99
2018-07-01,457613.000000,99
2018-08-01,499096.000000,30
