Date,CE16OV,IPMAN,M1SL,M1V,RSAFS,UMCSENT,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-08-03,136676.90322580645,95.15067741935484,1100.167741935484,9.372,273216.70967741933,107.26774193548387,4.087096774193548,41.048058,40.17445687226697,-0.2610906398903845,0.2712122633376177
2000-08-10,136729.06451612903,95.25174838709677,1100.0548387096774,9.372,274262.1935483871,107.15483870967742,4.041935483870968,41.497189,40.36018756255758,-0.3398123278852386,0.22379924607528423
2000-08-17,136781.2258064516,95.3528193548387,1099.941935483871,9.372,275307.67741935485,107.04193548387096,3.996774193548387,41.852318,40.545918252848296,-0.3904399102844473,0.1933069319572129
2000-08-24,136833.38709677418,95.45389032258065,1099.8290322580647,9.372,276353.1612903226,106.92903225806451,3.9516129032258065,41.925423,40.731648943138964,-0.3567797962889535,0.21357996733756177
2000-08-31,136885.5483870968,95.55496129032258,1099.716129032258,9.372,277398.6451612903,106.81612903225806,3.9064516129032256,42.384998,40.91737963342947,-0.43862285232750176,0.1642869919505061
2000-09-07,136932.0,95.52382,1099.5,9.407399999999999,277423.8,106.6,3.9,42.614777,41.33339513636392,-0.38296288786719446,0.1978102423151315
2000-09-14,136977.5,95.47064333333333,1099.2666666666667,9.4487,277278.9,106.36666666666666,3.9,42.113434,41.787791441405616,-0.09732384872210488,0.36984680604668896
2000-09-21,137023.0,95.41746666666667,1099.0333333333333,9.49,277134.0,106.13333333333333,3.9,41.27784,42.24218774644733,0.2882118191057661,0.602049769925754
2000-09-28,137068.5,95.36429,1098.8,9.5313,276989.1,105.89999999999999,3.9,42.308086,42.696584051489104,0.11610928791114757,0.49839472275558727
2000-10-05,137118.1935483871,95.30933225806452,1097.8870967741937,9.549,276811.12903225806,106.03225806451613,3.9,41.564194,42.763047612570254,0.35829790839798836,0.6442616818664482
2000-10-12,137171.03225806452,95.25303870967741,1096.4645161290323,9.549,276608.3548387097,106.43870967741935,3.9,40.296413,42.53856161568101,0.6701044655432222,0.8320585908631422
2000-10-19,137223.87096774194,95.19674516129032,1095.041935483871,9.549,276405.5806451613,106.84516129032258,3.9,40.987923,42.31407561879178,0.39634339384514744,0.667175967677722
2000-10-26,137276.70967741936,95.14045161290323,1093.6193548387098,9.549,276202.8064516129,107.2516129032258,3.9,41.197487,42.08958962190254,0.26662012788930867,0.5890453837845956
2000-11-02,137331.73333333334,95.07534333333334,1092.2733333333333,9.549,276021.06666666665,107.29333333333332,3.9,42.727184,41.810876950653416,-0.27385403504547934,0.2635250415537803
2000-11-09,137399.86666666667,94.95734666666667,1091.3866666666668,9.549,275965.5333333333,105.14666666666666,3.9,42.077591,41.20680423324486,-0.2602495199727561,0.2717188585871609
2000-11-16,137468.0,94.83935,1090.5,9.549,275910.0,103.0,3.9,41.543224,40.60273151583613,-0.2810822659302746,0.2591715750003277
2000-11-23,137536.13333333333,94.72135333333334,1089.6133333333332,9.549,275854.4666666667,100.85333333333334,3.9,40.90411,39.99865879842753,-0.2706095792499036,0.2654791337812306
2000-11-30,137604.26666666666,94.60335666666667,1088.7266666666667,9.549,275798.93333333335,98.70666666666668,3.9,40.925045,39.39458608101895,-0.4574038262972838,0.15297546312390214
2000-12-07,137645.74193548388,94.48148064516128,1090.1677419354837,9.539709677419355,276379.96774193546,97.68387096774194,3.958064516129032,41.574654,38.89323078679804,-0.8013891927641623,-0.0542023113078447
2000-12-14,137682.7741935484,94.35895806451613,1091.9967741935484,9.528870967741934,277067.0967741936,96.8483870967742,4.025806451612903,40.820278,38.40899506310842,-0.7206531504640926,-0.005576075453807616
2000-12-21,137719.8064516129,94.23643548387096,1093.8258064516128,9.518032258064515,277754.22580645164,96.01290322580645,4.093548387096774,41.689133,37.92475933941888,-1.1250474577317553,-0.2491373450308071
2000-12-28,137756.83870967742,94.1139129032258,1095.6548387096775,9.507193548387097,278441.3548387097,95.17741935483872,4.161290322580645,42.721367,37.44052361572929,-1.5782703737322812,-0.5221074310053704
2001-01-04,137761.93548387097,93.99884193548387,1097.1354838709678,9.501,278828.0967741936,94.30322580645162,4.2,42.942535,37.17393314961052,-1.7240453343958169,-0.6099057354168309
2001-01-11,137724.4516129032,93.8937064516129,1098.151612903226,9.501,278814.32258064515,93.37741935483871,4.2,43.321732,37.19753636025298,-1.8303206207445522,-0.6739139155582603
2001-01-18,137686.96774193548,93.78857096774193,1099.167741935484,9.501,278800.5483870968,92.45161290322581,4.2,43.648262,37.22113957089543,-1.920855473279077,-0.7284418434444464
