Date,CPIAUCSL,EXUSEU,M1SL,M1V,MEHOINUSA672N,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,172.2,0.9505,1102.6,9.251,58544.0,41.583149,33.7097380114255,-1.60254245964394,-0.08136097731308545
2000-06-08,172.31666666666666,0.9477233333333334,1102.81,9.279233333333332,58544.0,40.832027,34.16797994144059,-1.3563903090927414,0.01307268829443009
2000-06-15,172.4333333333333,0.9449466666666667,1103.02,9.307466666666667,58544.0,40.091328,34.6262218714558,-1.1123596405880067,0.10669246978303992
2000-06-22,172.54999999999998,0.94217,1103.23,9.3357,58544.0,39.402802,35.08446380147096,-0.8789481875501651,0.19623830172390383
2000-06-29,172.66666666666666,0.9393933333333333,1103.44,9.363933333333334,58544.0,39.115768,35.54270573148614,-0.7272558240074636,0.25443347045157116
2000-07-06,172.7,0.9331,1102.967741935484,9.372,58544.0,40.128914,35.63580483834437,-0.9145208116046775,0.18259124124840753
2000-07-13,172.7,0.9254,1102.2225806451613,9.372,58544.0,40.880955,35.582846815939845,-1.0783691252831022,0.11973257099256746
2000-07-20,172.7,0.9177,1101.4774193548387,9.372,58544.0,40.160244,35.529888793535335,-0.9424556691326077,0.17187432901067567
2000-07-27,172.7,0.9099999999999999,1100.7322580645161,9.372,58544.0,39.251545,35.476930771130824,-0.7682794127369954,0.2386952051086524
2000-08-03,172.75806451612902,0.902241935483871,1100.167741935484,9.372,58544.0,41.048058,35.39924614999724,-1.1497508321749919,0.0923477351338195
2000-08-10,172.96129032258062,0.8943387096774194,1100.0548387096774,9.372,58544.0,41.497189,35.259745032040954,-1.2695601452546685,0.04638416104885912
2000-08-17,173.16451612903225,0.8864354838709677,1099.941935483871,9.372,58544.0,41.852318,35.120243914084654,-1.3702364299035883,0.0077607706870280735
2000-08-24,173.36774193548388,0.8785322580645162,1099.8290322580647,9.372,58544.0,41.925423,34.98074279612837,-1.4135099655667773,-0.008840662968220503
