Date,INDPRO,TCU,UNRATE,WPRIME,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2009-04-16,87.85185,67.3306,9.2,3.25,0.169,33.79229,41.37726279901857,1.000447040648932,1.3918684269324426
2009-04-23,87.64462666666667,67.16488666666666,9.293333333333333,3.25,0.16853333333333334,33.268307,40.84124200632607,0.9988592730465603,1.3911309673275496
2009-04-30,87.43740333333332,66.99917333333333,9.386666666666667,3.25,0.16806666666666667,33.623001,40.3052212136335,0.8813752685519348,1.3365639718765645
2009-05-07,87.34230322580645,66.92409354838709,9.419354838709678,3.25,0.16935483870967744,36.525024,40.09718253480989,0.4711625907665472,1.1460352831504692
2009-05-14,87.26589032258065,66.8641193548387,9.441935483870967,3.25,0.17093548387096774,34.308197,39.943807541631074,0.7433289529204722,1.272446539810041
2009-05-21,87.18947741935484,66.80414516129032,9.464516129032258,3.25,0.17251612903225805,34.4533,39.790432548452245,0.7039601334286965,1.2541611723393005
2009-05-28,87.11306451612903,66.74417096774194,9.487096774193548,3.25,0.17409677419354838,35.678596,39.637057555273316,0.5221154054775491,1.169700989988691
2009-06-04,87.16531,66.78542,9.5,3.25,0.17609999999999998,36.12196,39.64291461919046,0.46440886768691714,1.1428984273874343
2009-06-11,87.3891,66.96163333333334,9.5,3.25,0.17866666666666667,36.460522,39.861081092568654,0.4485288702884118,1.1355227531453673
2009-06-18,87.61289,67.13784666666668,9.5,3.25,0.18123333333333333,35.372269,40.07924756594686,0.6208437263359471,1.2155566607954351
2009-06-25,87.83668,67.31406000000001,9.5,3.25,0.1838,35.162689,40.297414039325176,0.6772628730855215,1.2417612776475389
2009-07-02,88.06062580645161,67.49124516129032,9.503225806451614,3.25,0.18556451612903227,34.61837,40.49683101799721,0.7753605826755745,1.287324052733209
2009-07-09,88.2855064516129,67.67426129032259,9.525806451612903,3.25,0.18251612903225806,33.757988,40.5837510284316,0.9003083600838861,1.345357695957908
2009-07-16,88.5103870967742,67.85727741935484,9.548387096774194,3.25,0.17946774193548387,36.160576,40.67067103886611,0.5948750713071592,1.2034951764519313
2009-07-23,88.73526774193549,68.0402935483871,9.570967741935483,3.25,0.17641935483870966,37.759598,40.757591049300615,0.39543098617927286,1.1108607405326387
2009-07-30,88.96014838709678,68.22330967741935,9.593548387096774,3.25,0.17337096774193547,38.425175,40.84451105973519,0.3191069586446636,1.0754110392631147
2009-08-06,89.13296451612904,68.37053548387097,9.63225806451613,3.25,0.16483870967741934,40.024208,40.77870449084924,0.09951700572318432,0.973419589331762
2009-08-13,89.28495483870968,68.50344516129032,9.67741935483871,3.25,0.15411290322580645,39.75634,40.65180729023526,0.11811085210875141,0.9820557465303701
2009-08-20,89.43694516129032,68.63635483870968,9.72258064516129,3.25,0.14338709677419353,40.681675,40.52491008962122,-0.02067706698781234,0.9175938669530499
2009-08-27,89.58893548387097,68.76926451612903,9.76774193548387,3.25,0.13266129032258064,40.88459,40.3980128890073,-0.06417882352895797,0.8973889023580683
2009-09-03,89.71704000000001,68.88548666666667,9.813333333333334,3.25,0.12213333333333333,40.137829,40.23691495407544,0.013069295322650451,0.9332678100281394
2009-09-10,89.78543,68.95998999999999,9.860000000000001,3.25,0.1121,41.11187,39.99031518334871,-0.14793147279177113,0.8584888797465566
2009-09-17,89.85382,69.03449333333333,9.906666666666666,3.25,0.10206666666666667,42.256336,39.74371541262195,-0.3314110541360418,0.7732693681744983
2009-09-24,89.92221,69.10899666666666,9.953333333333333,3.25,0.09203333333333333,41.055035,39.4971156418954,-0.20548733036815922,0.8317563025582126
2009-10-01,89.9906,69.1835,10.0,3.25,0.082,40.419937,39.250515871168616,-0.15424497076153917,0.8555564923421768
2009-10-08,90.0720935483871,69.27156451612903,9.977419354838709,3.25,0.07533870967741936,42.354809,39.27163785904192,-0.406665854383133,0.7383162836213099
2009-10-15,90.15358709677419,69.35962903225806,9.95483870967742,3.25,0.0686774193548387,42.844643,39.29275984691521,-0.46848829697771155,0.7096020347468472
2009-10-22,90.23508064516129,69.4476935483871,9.932258064516128,3.25,0.06201612903225806,42.232342,39.31388183478857,-0.38494071276239356,0.7484068121923302
2009-10-29,90.31657419354839,69.53575806451613,9.90967741935484,3.25,0.05535483870967742,40.272991,39.33500382266186,-0.12371916427386612,0.8697346057876264
2009-11-05,90.38746,69.61824666666666,9.9,3.25,0.05216666666666667,41.530235,39.29384418694705,-0.2949767428227011,0.790191764616865
2009-11-12,90.45039,69.69655333333333,9.9,3.25,0.051583333333333335,42.583401,39.20597333354112,-0.44547786833880637,0.7202895318258373
2009-11-19,90.51332000000001,69.77485999999999,9.9,3.25,0.051000000000000004,42.656868,39.118102480135185,-0.46675809995750134,0.7104056475734379
2009-11-26,90.57625,69.85316666666667,9.9,3.25,0.050416666666666665,42.575241,39.03023162672914,-0.46758165527244294,0.7100231364450732
2009-12-03,90.68982580645161,69.97124838709676,9.893548387096775,3.25,0.05090322580645162,43.350811,39.018106896626946,-0.571477461170055,0.6617673590549622
2009-12-10,90.93001612903225,70.18876774193548,9.870967741935484,3.25,0.054064516129032264,43.473267,39.19534747478404,-0.5642514538338707,0.6651235734701799
2009-12-17,91.1702064516129,70.4062870967742,9.848387096774195,3.25,0.057225806451612904,43.309986,39.372588052941126,-0.5193371457445344,0.6859846162626656
2009-12-24,91.41039677419354,70.62380645161291,9.825806451612904,3.25,0.06038709677419355,43.701859,39.54982863109828,-0.5476468545529523,0.6728357986137207
2009-12-31,91.65058709677419,70.84132580645161,9.803225806451614,3.25,0.0635483870967742,43.570789,39.727069209255475,-0.5069811311955738,0.6917235301904444
2010-01-07,91.7473,70.94947096774193,9.8,3.25,0.07241935483870968,45.083145,39.69529706893466,-0.7106494197050056,0.5971271072951685
2010-01-14,91.8201,71.03938709677419,9.8,3.25,0.08224193548387097,44.73793,39.62868947553421,-0.673901502102524,0.6141951623148586
2010-01-21,91.8929,71.12930322580645,9.8,3.25,0.09206451612903226,43.143379,39.562081882133754,-0.4723679567733502,0.7078000755837199
2010-01-28,91.9657,71.21921935483871,9.8,3.25,0.10188709677419355,42.666653,39.495474288733305,-0.4182739267655863,0.7329247612978006
2010-02-04,92.07191785714286,71.3373392857143,9.810714285714287,3.25,0.11205357142857142,42.198154,39.411295492233606,-0.36758264277005037,0.7564689967457465
2010-02-11,92.22269285714286,71.49306428571428,9.835714285714285,3.25,0.12267857142857143,42.477612,39.30368842493509,-0.41863597036635825,0.7327566053722228
2010-02-18,92.37346785714286,71.64878928571429,9.860714285714286,3.25,0.1333035714285714,43.825584,39.19608135763638,-0.6106247630615607,0.6435848783553888
2010-02-25,92.52424285714285,71.80451428571429,9.885714285714286,3.25,0.1439285714285714,43.776276,39.08847429033773,-0.6183143264781993,0.640013359204499
2010-03-04,92.64423225806452,71.93532580645162,9.9,3.25,0.15116129032258063,45.16534,38.98557072062297,-0.815102710486438,0.5486123986977816
2010-03-11,92.72317419354839,72.03291935483871,9.9,3.25,0.15387096774193548,45.600964,38.88893848101986,-0.8853065456072114,0.5160053015175674
