Date,CE16OV,CPIAUCSL,DEXUSEU,M1SL,M1V,MEHOINUSA672N,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,136940.0,172.2,0.9504772727272728,1102.6,9.251,58544.0,41.583149,33.64127485796102,-1.634653373956208,-0.3058814196786016
2000-06-08,136844.56666666668,172.31666666666666,0.9477094090909092,1102.81,9.279233333333332,58544.0,40.832027,33.859939620348555,-1.4350449219960444,-0.1804259334870273
2000-06-15,136749.13333333333,172.4333333333333,0.9449415454545455,1103.02,9.307466666666667,58544.0,40.091328,34.07860438273612,-1.2375818064907254,-0.05631880817568635
2000-06-22,136653.7,172.54999999999998,0.9421736818181818,1103.23,9.3357,58544.0,39.402802,34.29726914512368,-1.0508573112347481,0.06103900962298103
2000-06-29,136558.26666666666,172.66666666666666,0.9394058181818181,1103.44,9.363933333333334,58544.0,39.115768,34.51593390751124,-0.9467707727983592,0.12645821986835293
2000-07-06,136552.12903225806,172.7,0.9331132819074334,1102.967741935484,9.372,58544.0,40.128914,34.577484370805294,-1.1426349764986055,0.003356023235697836
2000-07-13,136581.70967741936,172.7,0.92541087657784,1102.2225806451613,9.372,58544.0,40.880955,34.576189114462025,-1.2976920362216526,-0.09409856159757912
2000-07-20,136611.29032258064,172.7,0.9177084712482468,1101.4774193548387,9.372,58544.0,40.160244,34.5748938581187,-1.149616739180534,-0.0010320696688568276
2000-07-27,136640.87096774194,172.7,0.9100060659186535,1100.7322580645161,9.372,58544.0,39.251545,34.5735986017754,-0.9628484065954872,0.11635330023683688
2000-08-03,136676.90322580645,172.75806451612902,0.9022443899018232,1100.167741935484,9.372,58544.0,41.048058,34.55519955480885,-1.3364065929816993,-0.11843096582859969
2000-08-10,136729.06451612903,172.96129032258062,0.8943345371669004,1100.0548387096774,9.372,58544.0,41.497189,34.494041031284084,-1.441438034730298,-0.18444405525730878
