Date,Value,Percent Stock
2008-06-01,9974.000000,73
2008-07-01,9341.000000,100
2008-08-01,9828.000000,85
2008-09-01,11049.000000,51
2008-10-01,11011.000000,67
2008-11-01,10308.000000,80
2008-12-01,9770.000000,100
2009-01-01,10069.000000,100
2009-02-01,9094.000000,100
2009-03-01,7995.000000,82
2009-04-01,8917.000000,100
2009-05-01,9806.000000,14
2009-06-01,10451.000000,64
2009-07-01,10255.000000,100
2009-08-01,11694.000000,22
2009-09-01,11768.000000,1
2009-10-01,13050.000000,41
2009-11-01,13079.000000,100
2009-12-01,14913.000000,82
2010-01-01,15051.000000,100
2010-02-01,14965.000000,48
2010-03-01,15294.000000,2
2010-04-01,15311.000000,99
2010-05-01,15209.000000,1
2010-06-01,15190.000000,99
2010-07-01,14583.000000,99
2010-08-01,15619.000000,99
2010-09-01,15519.000000,99
2010-10-01,15980.000000,99
2010-11-01,19022.000000,73
2010-12-01,19084.000000,99
2011-01-01,19874.000000,99
2011-02-01,21207.000000,20
2011-03-01,21264.000000,0
2011-04-01,21265.000000,1
2011-05-01,21266.000000,1
2011-06-01,21263.000000,0
2011-07-01,24407.000000,22
2011-08-01,24009.000000,100
2011-09-01,22879.000000,100
2011-10-01,22243.000000,100
2011-11-01,24331.000000,100
2011-12-01,24076.000000,100
2012-01-01,24654.000000,100
2012-02-01,26862.000000,38
2012-03-01,27409.000000,8
2012-04-01,27443.000000,8
2012-05-01,28312.000000,24
2012-06-01,27923.000000,99
2012-07-01,29349.000000,99
2012-08-01,33995.000000,79
2012-09-01,38244.000000,67
2012-10-01,38922.000000,99
2012-11-01,40568.000000,40
2012-12-01,43660.000000,57
2013-01-01,45104.000000,90
2013-02-01,48691.000000,32
2013-03-01,48813.000000,99
2013-04-01,49792.000000,99
2013-05-01,51182.000000,2
2013-06-01,51207.000000,2
2013-07-01,57322.000000,35
2013-08-01,58343.000000,1
2013-09-01,60232.000000,30
2013-10-01,60617.000000,48
2013-11-01,62662.000000,6
2013-12-01,62732.000000,6
2014-01-01,62791.000000,6
2014-02-01,63256.000000,45
2014-03-01,66093.000000,22
2014-04-01,68406.000000,33
2014-05-01,73425.000000,61
2014-06-01,76469.000000,79
2014-07-01,78125.000000,33
2014-08-01,84750.000000,49
2014-09-01,87767.000000,88
2014-10-01,92093.000000,73
2014-11-01,96757.000000,37
2014-12-01,99121.000000,71
2015-01-01,101285.000000,33
2015-02-01,103687.000000,56
2015-03-01,106919.000000,30
2015-04-01,108800.000000,49
2015-05-01,111105.000000,9
2015-06-01,114935.000000,34
2015-07-01,115479.000000,11
2015-08-01,120144.000000,26
2015-09-01,118853.000000,99
2015-10-01,116932.000000,99
2015-11-01,134346.000000,56
2015-12-01,133966.000000,2
2016-01-01,146024.000000,17
2016-02-01,144962.000000,100
2016-03-01,161349.000000,50
2016-04-01,164402.000000,18
2016-05-01,172011.000000,75
2016-06-01,174459.000000,4
2016-07-01,174487.000000,4
2016-08-01,174636.000000,5
2016-09-01,175264.000000,5
2016-10-01,176782.000000,94
2016-11-01,197996.000000,61
2016-12-01,219061.000000,36
2017-01-01,228951.000000,75
2017-02-01,233437.000000,86
2017-03-01,242020.000000,97
2017-04-01,238885.000000,97
2017-05-01,241942.000000,39
2017-06-01,242556.000000,99
2017-07-01,257494.000000,63
2017-08-01,259550.000000,99
2017-09-01,256811.000000,99
2017-10-01,279117.000000,85
2017-11-01,281371.000000,99
2017-12-01,301501.000000,54
2018-01-01,314959.000000,46
2018-02-01,339239.000000,63
2018-03-01,327710.000000,100
2018-04-01,326523.000000,100
2018-05-01,324152.000000,100
2018-06-01,328497.000000,100
2018-07-01,329843.000000,100
2018-08-01,338961.000000,100
