Date,Open,High,Low,Close,Adj Close,Volume
1993-01-25,43.968700,43.968700,43.750000,43.937500,27.234995,1003200
1993-02-01,43.968700,45.093700,43.968700,44.968700,27.874176,2234800
1993-02-08,44.968700,45.125000,44.531200,44.593700,27.641737,1159800
1993-02-15,44.468700,44.468700,42.812500,43.562500,27.002533,998700
1993-02-22,43.687500,44.437500,43.468700,44.406200,27.525515,1024300
1993-03-01,44.562500,45.187500,44.218700,44.750000,27.738615,658500
1993-03-08,44.843700,45.843700,44.812500,45.093700,27.951666,1129000
1993-03-15,45.062500,45.500000,44.968700,45.031200,27.912928,489600
1993-03-22,44.593700,45.250000,44.562500,44.906200,27.966911,487400
1993-03-29,44.937500,45.468700,44.093700,44.093700,27.460892,443600
1993-04-05,44.437500,44.531200,44.062500,44.281200,27.577671,510700
1993-04-12,44.718700,45.156200,44.656200,44.937500,27.986408,810700
1993-04-19,44.937500,45.062500,43.687500,43.750000,27.246849,708100
1993-04-26,43.781200,44.281200,43.281200,44.031200,27.421978,478800
1993-05-03,44.093700,44.750000,43.906200,44.343700,27.616596,461300
1993-05-10,44.406200,44.687500,43.968700,44.000000,27.402533,380100
1993-05-17,44.125000,45.250000,43.843700,44.750000,27.869614,509000
1993-05-24,44.843700,45.656200,44.843700,45.218700,28.161530,457600
1993-05-31,45.375000,45.812500,45.093700,45.281200,28.200459,102200
1993-06-07,45.375000,45.375000,44.718700,45.093700,28.083685,934500
1993-06-14,45.156200,45.187500,44.500000,44.500000,27.713943,633400
1993-06-21,44.625000,44.906200,44.218700,44.781200,28.086718,682900
1993-06-28,45.000000,45.281200,44.531200,44.687500,28.027943,1976100
1993-07-05,44.625000,44.968700,44.156200,44.968700,28.204317,1216500
1993-07-12,44.906200,45.187500,44.656200,44.750000,28.067129,2040800
1993-07-19,44.750000,44.843700,44.468700,44.718700,28.047527,1318000
1993-07-26,44.843700,45.218700,44.781200,44.843700,28.125921,651200
1993-08-02,44.906200,45.187500,44.843700,44.968700,28.204317,996000
1993-08-09,45.093700,45.343700,44.906200,45.125000,28.302343,2382500
1993-08-16,45.156200,45.875000,45.156200,45.812500,28.733547,1134600
1993-08-23,45.625000,46.531200,45.625000,46.250000,29.007950,677000
1993-08-30,46.281200,46.593700,46.250000,46.375000,29.086334,1489400
1993-09-06,46.375000,46.437500,45.593700,46.406200,29.105907,812000
1993-09-13,46.562500,46.562500,45.750000,45.812500,28.733547,607600
1993-09-20,45.875000,45.968700,44.812500,45.781200,28.892822,957700
1993-09-27,46.125000,46.312500,45.812500,46.156200,29.129486,775900
1993-10-04,46.218700,46.375000,45.718700,46.062500,29.070351,1798000
1993-10-11,46.156200,47.156200,46.156200,47.062500,29.701464,2243000
1993-10-18,47.031200,47.031200,46.375000,46.375000,29.267569,2279800
1993-10-25,46.406200,46.968700,46.281200,46.843700,29.563362,629400
