Date,Open,High,Low,Close,Adj Close,Volume
2000-05-22,59.609379,59.609379,59.312500,59.312500,39.601013,2900
2000-05-29,59.906250,62.593750,59.906250,62.281250,41.583149,49400
2000-06-05,62.343750,62.343750,61.156250,61.156250,40.832027,47500
2000-06-12,61.562500,61.984379,59.953121,60.046879,40.091328,41000
2000-06-19,60.250000,60.593750,59.015621,59.015621,39.402802,84000
2000-06-26,59.531250,59.859379,58.500000,58.515621,39.115768,75900
2000-07-03,58.375000,60.140621,58.375000,60.031250,40.128914,42000
2000-07-10,60.296879,61.218750,60.078121,61.156250,40.880955,67700
2000-07-17,60.875000,60.906250,60.078121,60.078121,40.160244,119900
2000-07-24,60.203121,60.328121,58.718750,58.718750,39.251545,141200
2000-07-31,59.187500,61.406250,59.093750,61.406250,41.048058,217200
2000-08-07,61.421879,62.296879,61.328121,62.078121,41.497189,152900
2000-08-14,62.218750,62.906250,62.109379,62.609379,41.852318,139700
2000-08-21,62.687500,63.062500,62.484379,62.718750,41.925423,83000
2000-08-28,62.656250,63.593750,62.546879,63.406250,42.384998,304000
2000-09-04,63.359379,63.875000,63.312500,63.750000,42.614777,82500
2000-09-11,63.859379,64.515617,63.000000,63.000000,42.113434,196800
2000-09-18,63.218750,63.218750,60.671879,61.750000,41.277840,95500
2000-09-25,61.796879,63.562500,61.531250,63.093750,42.308086,43000
2000-10-02,63.031250,64.031250,61.781250,61.984379,41.564194,114500
2000-10-09,62.125000,62.125000,59.078121,60.093750,40.296413,363700
2000-10-16,60.125000,61.156250,58.250000,61.125000,40.987923,786400
2000-10-23,61.000000,62.125000,60.250000,61.437500,41.197487,100600
2000-10-30,62.156250,64.281250,62.156250,63.718750,42.727184,210000
2000-11-06,63.750000,64.156250,62.656250,62.750000,42.077591,246900
2000-11-13,62.125000,63.000000,61.625000,61.953121,41.543224,763900
2000-11-20,61.875000,61.875000,60.500000,61.000000,40.904110,119900
2000-11-27,61.437500,61.750000,60.000000,61.031250,40.925045,140400
2000-12-04,61.000000,63.000000,61.000000,62.000000,41.574654,201000
2000-12-11,62.562500,63.062500,60.875000,60.875000,40.820278,295700
2000-12-18,61.625000,62.718750,60.312500,61.843750,41.689133,522800
2000-12-25,62.312500,64.375000,62.312500,63.375000,42.721367,1041600
