DATE,TOTALSL
1962-05-01,64.6010
1962-06-01,65.1374
1962-07-01,65.5122
1962-08-01,66.0551
1962-09-01,66.4383
1962-10-01,67.0289
1962-11-01,67.6421
1962-12-01,68.1267
1963-01-01,68.6565
1963-02-01,69.3768
1963-03-01,70.0734
1963-04-01,70.8016
1963-05-01,71.3351
1963-06-01,71.8756
1963-07-01,72.7165
1963-08-01,73.5762
1963-09-01,74.1698
1963-10-01,75.1130
1963-11-01,75.6069
1963-12-01,76.5815
1964-01-01,77.4614
1964-02-01,78.3362
1964-03-01,79.2404
1964-04-01,79.9082
1964-05-01,80.8345
1964-06-01,81.4282
1964-07-01,82.2945
1964-08-01,82.9731
1964-09-01,83.9220
1964-10-01,84.5302
1964-11-01,84.9440
1964-12-01,85.9596
1965-01-01,87.1826
1965-02-01,88.1520
1965-03-01,88.9161
1965-04-01,90.0474
1965-05-01,90.8859
1965-06-01,91.8301
1965-07-01,92.6946
1965-08-01,93.2871
1965-09-01,94.1265
1965-10-01,94.8045
1965-11-01,95.4053
1965-12-01,95.9547
1966-01-01,97.0307
1966-02-01,97.7584
1966-03-01,98.4464
1966-04-01,98.8051
1966-05-01,99.3054
1966-06-01,99.7887
1966-07-01,100.0614
1966-08-01,100.5867
1966-09-01,100.6725
1966-10-01,100.9531
1966-11-01,101.4374
1966-12-01,101.7882
1967-01-01,102.1986
1967-02-01,102.3626
1967-03-01,102.7322
1967-04-01,102.8859
1967-05-01,103.1514
1967-06-01,103.7410
1967-07-01,104.0943
1967-08-01,104.6775
1967-09-01,105.1723
1967-10-01,105.4407
1967-11-01,106.2966
1967-12-01,106.8426
1968-01-01,106.7724
1968-02-01,107.9284
1968-03-01,108.6891
1968-04-01,109.5976
1968-05-01,110.3770
1968-06-01,111.0679
1968-07-01,112.1237
1968-08-01,112.8450
1968-09-01,113.7542
1968-10-01,115.2283
1968-11-01,116.1961
1968-12-01,117.3991
1969-01-01,118.2260
1969-02-01,119.4490
1969-03-01,120.4315
1969-04-01,121.5237
1969-05-01,122.5648
1969-06-01,123.3807
1969-07-01,124.0040
1969-08-01,124.6087
1969-09-01,125.3191
1969-10-01,126.0197
1969-11-01,126.5692
1969-12-01,127.1562
1970-01-01,127.8030
1970-02-01,128.1912
1970-03-01,128.2800
1970-04-01,128.3747
1970-05-01,128.5340
1970-06-01,129.1854
1970-07-01,129.8569
1970-08-01,130.1846
1970-09-01,130.8508
1970-10-01,131.1131
1970-11-01,130.8074
1970-12-01,131.5516
1971-01-01,134.1641
1971-02-01,134.9329
1971-03-01,135.7363
1971-04-01,136.9925
1971-05-01,137.8409
1971-06-01,138.7689
1971-07-01,139.9080
1971-08-01,141.2521
1971-09-01,142.7666
1971-10-01,143.9268
1971-11-01,145.6348
1971-12-01,146.9302
1972-01-01,147.6605
1972-02-01,148.9245
1972-03-01,150.7711
1972-04-01,152.3220
1972-05-01,154.1995
1972-06-01,156.1530
1972-07-01,157.2799
1972-08-01,158.9394
1972-09-01,160.5533
1972-10-01,162.2250
1972-11-01,164.1016
1972-12-01,166.1891
1973-01-01,169.2947
1973-02-01,171.6018
1973-03-01,173.9089
1973-04-01,175.7627
1973-05-01,178.1280
1973-06-01,180.4293
1973-07-01,182.3182
1973-08-01,184.3265
1973-09-01,185.3455
1973-10-01,187.4761
1973-11-01,189.3088
1973-12-01,190.0863
1974-01-01,191.3125
1974-02-01,192.5154
1974-03-01,193.3580
1974-04-01,194.6036
1974-05-01,195.8699
1974-06-01,196.8878
1974-07-01,198.2935
1974-08-01,199.3168
1974-09-01,199.6171
1974-10-01,199.5348
1974-11-01,199.2547
1974-12-01,198.9178
1975-01-01,199.0636
1975-02-01,199.5078
1975-03-01,199.1099
1975-04-01,198.7429
1975-05-01,198.7372
1975-06-01,196.0434
1975-07-01,197.5794
1975-08-01,198.2116
1975-09-01,199.4290
1975-10-01,200.4343
1975-11-01,201.4929
1975-12-01,204.0020
1976-01-01,205.5208
1976-02-01,206.7093
1976-03-01,208.3386
1976-04-01,210.5001
1976-05-01,211.4074
1976-06-01,213.2401
1976-07-01,215.2727
1976-08-01,216.5099
1976-09-01,218.7088
1976-10-01,220.8671
1976-11-01,222.8049
1976-12-01,225.7216
1977-01-01,225.7332
1977-02-01,228.5282
1977-03-01,232.3483
1977-04-01,235.5941
1977-05-01,239.0181
1977-06-01,242.4086
1977-07-01,245.4811
1977-08-01,248.4745
1977-09-01,251.2618
1977-10-01,255.4156
1977-11-01,258.7729
1977-12-01,260.5627
1978-01-01,262.7653
1978-02-01,265.7380
1978-03-01,270.2628
1978-04-01,274.1370
1978-05-01,279.2566
1978-06-01,285.1008
1978-07-01,288.8055
1978-08-01,292.8131
1978-09-01,296.1794
1978-10-01,298.8125
1978-11-01,302.7302
1978-12-01,306.1004
