DATE,M2MSL
1994-12-01,2668.9
1995-01-01,2659.0
1995-02-01,2636.4
1995-03-01,2614.9
1995-04-01,2606.1
1995-05-01,2617.3
1995-06-01,2635.3
1995-07-01,2648.3
1995-08-01,2666.3
1995-09-01,2676.8
1995-10-01,2686.3
1995-11-01,2689.3
1995-12-01,2697.2
1996-01-01,2714.7
1996-02-01,2727.5
1996-03-01,2753.9
1996-04-01,2765.0
1996-05-01,2777.5
1996-06-01,2791.3
1996-07-01,2803.9
1996-08-01,2806.7
1996-09-01,2812.8
1996-10-01,2827.0
1996-11-01,2843.7
1996-12-01,2862.6
1997-01-01,2875.8
1997-02-01,2885.6
1997-03-01,2899.3
1997-04-01,2913.3
1997-05-01,2920.7
1997-06-01,2933.9
1997-07-01,2948.8
1997-08-01,2981.1
1997-09-01,2996.3
1997-10-01,3014.7
1997-11-01,3037.6
1997-12-01,3055.4
1998-01-01,3077.3
1998-02-01,3109.7
1998-03-01,3135.7
1998-04-01,3162.6
1998-05-01,3188.4
1998-06-01,3208.5
1998-07-01,3230.1
1998-08-01,3258.1
1998-09-01,3298.7
1998-10-01,3339.9
1998-11-01,3381.8
1998-12-01,3414.4
1999-01-01,3446.9
1999-02-01,3474.0
1999-03-01,3483.5
1999-04-01,3514.7
1999-05-01,3542.3
1999-06-01,3567.4
1999-07-01,3593.7
1999-08-01,3609.5
1999-09-01,3621.2
1999-10-01,3639.9
1999-11-01,3651.6
1999-12-01,3672.9
2000-01-01,3692.9
2000-02-01,3697.6
2000-03-01,3720.1
2000-04-01,3767.1
2000-05-01,3750.0
2000-06-01,3757.2
2000-07-01,3764.7
2000-08-01,3783.8
2000-09-01,3813.3
2000-10-01,3823.9
2000-11-01,3829.5
2000-12-01,3868.3
2001-01-01,3913.2
2001-02-01,3950.9
2001-03-01,4012.3
2001-04-01,4081.0
2001-05-01,4082.7
2001-06-01,4131.3
2001-07-01,4169.4
2001-08-01,4209.9
2001-09-01,4326.5
2001-10-01,4321.9
2001-11-01,4378.3
2001-12-01,4445.0
2002-01-01,4479.3
2002-02-01,4519.8
2002-03-01,4540.9
2002-04-01,4549.0
2002-05-01,4579.4
2002-06-01,4608.0
2002-07-01,4654.3
2002-08-01,4701.6
2002-09-01,4733.7
2002-10-01,4783.6
2002-11-01,4836.9
2002-12-01,4862.8
2003-01-01,4902.0
2003-02-01,4944.6
2003-03-01,4970.0
2003-04-01,5012.7
2003-05-01,5079.7
2003-06-01,5123.4
2003-07-01,5181.1
2003-08-01,5249.9
2003-09-01,5228.9
2003-10-01,5225.3
2003-11-01,5234.4
2003-12-01,5234.5
2004-01-01,5245.7
2004-02-01,5287.1
2004-03-01,5325.2
2004-04-01,5368.9
2004-05-01,5448.9
2004-06-01,5451.8
2004-07-01,5464.7
2004-08-01,5488.7
2004-09-01,5520.8
2004-10-01,5544.1
2004-11-01,5565.0
2004-12-01,5575.9
2005-01-01,5570.5
2005-02-01,5565.8
2005-03-01,5560.2
2005-04-01,5557.8
2005-05-01,5556.5
2005-06-01,5572.6
2005-07-01,5589.6
2005-08-01,5607.7
2005-09-01,5630.1
2005-10-01,5655.9
2005-11-01,5660.4
2005-12-01,5673.7
2006-01-01,5702.4
2006-02-01,5709.2
2006-03-01,5704.7
2006-04-01,5722.2
2006-05-01,5707.9
2006-06-01,5725.6
2006-07-01,5742.7
2006-08-01,5750.0
2006-09-01,5759.2
2006-10-01,5792.4
2006-11-01,5816.6
2006-12-01,5850.7
2007-01-01,5881.3
2007-02-01,5887.3
2007-03-01,5911.9
2007-04-01,5973.6
2007-05-01,5982.1
2007-06-01,6014.4
2007-07-01,6042.1
2007-08-01,6113.8
2007-09-01,6122.1
2007-10-01,6131.0
2007-11-01,6154.1
2007-12-01,6181.3
2008-01-01,6208.1
2008-02-01,6288.9
2008-03-01,6362.0
2008-04-01,6405.9
2008-05-01,6418.8
2008-06-01,6439.5
2008-07-01,6475.0
2008-08-01,6462.2
2008-09-01,6507.7
2008-10-01,6554.3
2008-11-01,6570.4
2008-12-01,6723.4
2009-01-01,6813.3
2009-02-01,6855.1
2009-03-01,6933.7
2009-04-01,6957.0
2009-05-01,7031.1
2009-06-01,7064.3
2009-07-01,7097.1
2009-08-01,7125.3
2009-09-01,7157.0
2009-10-01,7218.3
2009-11-01,7274.0
2009-12-01,7295.8
2010-01-01,7287.0
2010-02-01,7357.4
2010-03-01,7375.0
2010-04-01,7425.0
2010-05-01,7499.7
2010-06-01,7537.0
2010-07-01,7563.6
2010-08-01,7630.7
2010-09-01,7683.9
2010-10-01,7756.5
2010-11-01,7800.8
2010-12-01,7854.8
2011-01-01,7910.6
2011-02-01,7969.5
2011-03-01,8027.2
2011-04-01,8101.8
2011-05-01,8166.5
2011-06-01,8264.6
2011-07-01,8467.6
2011-08-01,8696.1
2011-09-01,8734.2
2011-10-01,8777.5
2011-11-01,8828.7
2011-12-01,8874.1
2012-01-01,8964.1
2012-02-01,9018.1
2012-03-01,9076.3
2012-04-01,9142.4
2012-05-01,9185.2
2012-06-01,9263.9
2012-07-01,9348.0
2012-08-01,9427.4
2012-09-01,9518.8
2012-10-01,9591.0
2012-11-01,9662.4
2012-12-01,9800.2
2013-01-01,9834.7
2013-02-01,9839.9
2013-03-01,9913.9
2013-04-01,9956.6
2013-05-01,10003.0
2013-06-01,10071.4
2013-07-01,10138.1
2013-08-01,10200.1
2013-09-01,10257.2
2013-10-01,10372.6
2013-11-01,10384.8
2013-12-01,10446.0
2014-01-01,10504.6
2014-02-01,10590.0
2014-03-01,10635.2
2014-04-01,10696.7
2014-05-01,10767.6
2014-06-01,10823.8
2014-07-01,10886.9
2014-08-01,10918.6
2014-09-01,10957.3
2014-10-01,11019.7
2014-11-01,11066.1
2014-12-01,11148.8
2015-01-01,11214.5
2015-02-01,11335.9
2015-03-01,11363.2
2015-04-01,11419.8
2015-05-01,11463.4
2015-06-01,11521.6
2015-07-01,11586.7
2015-08-01,11653.3
2015-09-01,11725.6
2015-10-01,11763.5
2015-11-01,11861.8
2015-12-01,11926.4
2016-01-01,12052.0
2016-02-01,12126.5
2016-03-01,12197.3
2016-04-01,12290.6
2016-05-01,12365.6
2016-06-01,12444.7
2016-07-01,12507.7
2016-08-01,12603.2
2016-09-01,12668.2
2016-10-01,12741.0
2016-11-01,12819.7
2016-12-01,12860.0
2017-01-01,12928.4
2017-02-01,12970.0
2017-03-01,13040.9
2017-04-01,13091.5
2017-05-01,13145.9
2017-06-01,13173.8
2017-07-01,13238.1
2017-08-01,13280.3
2017-09-01,13312.4
2017-10-01,13354.6
2017-11-01,13380.5
2017-12-01,13426.5
2018-01-01,13428.0
2018-02-01,13448.4
2018-03-01,13503.3
2018-04-01,13514.6
2018-05-01,13572.0
2018-06-01,13645.0
