DATE,TWEXMMTH
1973-01-01,108.1883
1973-02-01,103.7461
1973-03-01,100.0000
1973-04-01,100.8251
1973-05-01,100.0602
1973-06-01,98.2137
1973-07-01,96.2593
1973-08-01,97.6969
1973-09-01,97.9176
1973-10-01,97.4852
1973-11-01,100.3968
1973-12-01,101.9438
1974-01-01,105.8441
1974-02-01,103.5867
1974-03-01,101.3650
1974-04-01,99.9415
1974-05-01,99.0618
1974-06-01,100.2628
1974-07-01,101.1439
1974-08-01,102.9385
1974-09-01,103.4849
1974-10-01,102.9880
1974-11-01,102.4275
1974-12-01,101.5325
1975-01-01,100.4226
1975-02-01,99.2063
1975-03-01,98.5195
1975-04-01,99.9521
1975-05-01,100.1414
1975-06-01,100.2862
1975-07-01,102.9180
1975-08-01,104.8298
1975-09-01,105.5870
1975-10-01,105.5150
1975-11-01,105.28
1975-12-01,105.9985
1976-01-01,105.6230
1976-02-01,105.2674
1976-03-01,106.0512
1976-04-01,106.6371
1976-05-01,106.8158
1976-06-01,107.0655
1976-07-01,106.5489
1976-08-01,106.3905
1976-09-01,105.7385
1976-10-01,106.2007
1976-11-01,106.9242
1976-12-01,107.7610
1977-01-01,107.1214
1977-02-01,107.2946
1977-03-01,107.5026
1977-04-01,106.9384
1977-05-01,106.9392
1977-06-01,106.7656
1977-07-01,105.5779
1977-08-01,106.4090
1977-09-01,106.7154
1977-10-01,105.4842
1977-11-01,104.0708
1977-12-01,102.1449
1978-01-01,101.1363
1978-02-01,100.9685
1978-03-01,100.0591
1978-04-01,99.6510
1978-05-01,100.5824
1978-06-01,98.7346
1978-07-01,96.1824
1978-08-01,94.0373
1978-09-01,94.2446
1978-10-01,92.0243
1978-11-01,94.3154
1978-12-01,94.5567
1979-01-01,94.4591
1979-02-01,95.0459
1979-03-01,95.1171
1979-04-01,95.8872
1979-05-01,96.6392
1979-06-01,96.4419
1979-07-01,94.3467
1979-08-01,94.7934
1979-09-01,94.7793
1979-10-01,96.1950
1979-11-01,97.6023
1979-12-01,95.9483
1980-01-01,95.0717
1980-02-01,95.8280
1980-03-01,98.9410
1980-04-01,99.8180
1980-05-01,95.4137
1980-06-01,93.1524
1980-07-01,92.9805
1980-08-01,94.1660
1980-09-01,93.1623
1980-10-01,93.4495
1980-11-01,95.6447
1980-12-01,96.6179
1981-01-01,96.0263
1981-02-01,99.1190
1981-03-01,99.4650
1981-04-01,101.5272
1981-05-01,104.7946
1981-06-01,107.0390
1981-07-01,109.6456
1981-08-01,111.3557
1981-09-01,108.3760
1981-10-01,107.7176
1981-11-01,105.5155
1981-12-01,105.4629
1982-01-01,107.1430
1982-02-01,110.4267
1982-03-01,112.3217
1982-04-01,113.6438
1982-05-01,111.5298
1982-06-01,116.9883
1982-07-01,118.3241
1982-08-01,118.6365
1982-09-01,119.5430
1982-10-01,121.5483
1982-11-01,121.5614
1982-12-01,117.4352
1983-01-01,115.6864
1983-02-01,117.1515
1983-03-01,118.3134
1983-04-01,118.8161
1983-05-01,118.3912
1983-06-01,120.6164
1983-07-01,121.4957
1983-08-01,123.4772
1983-09-01,123.2106
1983-10-01,121.0874
1983-11-01,122.7739
1983-12-01,124.3378
1984-01-01,125.3550
1984-02-01,123.6175
1984-03-01,121.3992
1984-04-01,122.6857
1984-05-01,125.6014
1984-06-01,126.4933
1984-07-01,130.7488
1984-08-01,130.5608
1984-09-01,133.9208
1984-10-01,135.1330
1984-11-01,133.3776
1984-12-01,136.1546
1985-01-01,138.9668
1985-02-01,143.5295
1985-03-01,143.9059
1985-04-01,138.4922
1985-05-01,138.7587
1985-06-01,137.1548
1985-07-01,132.3093
1985-08-01,130.3278
1985-09-01,131.4680
1985-10-01,124.5693
1985-11-01,122.2847
1985-12-01,121.4046
1986-01-01,120.1897
1986-02-01,115.7162
1986-03-01,113.2825
1986-04-01,112.2230
1986-05-01,109.5738
1986-06-01,110.3052
1986-07-01,107.3615
1986-08-01,105.5317
1986-09-01,105.4336
1986-10-01,105.5044
1986-11-01,107.0987
1986-12-01,106.1015
1987-01-01,101.8453
1987-02-01,100.2970
1987-03-01,99.3084
1987-04-01,96.8727
1987-05-01,96.2103
1987-06-01,97.7501
1987-07-01,99.2907
1987-08-01,98.9041
1987-09-01,96.8285
1987-10-01,96.4423
1987-11-01,92.5121
1987-12-01,89.6784
1988-01-01,89.6179
1988-02-01,90.5721
1988-03-01,89.0744
1988-04-01,87.9947
1988-05-01,88.3378
1988-06-01,89.9762
1988-07-01,92.7828
1988-08-01,94.01
1988-09-01,94.0403
1988-10-01,91.2933
1988-11-01,88.8012
1988-12-01,88.4390
1989-01-01,90.5499
1989-02-01,90.9714
1989-03-01,92.2971
1989-04-01,92.6078
1989-05-01,95.5648
1989-06-01,97.92
1989-07-01,95.1119
1989-08-01,95.7525
1989-09-01,97.1090
1989-10-01,95.1042
1989-11-01,94.7829
1989-12-01,93.1117
1990-01-01,92.4069
1990-02-01,92.4490
1990-03-01,94.3127
1990-04-01,94.3080
1990-05-01,93.0176
1990-06-01,93.0054
1990-07-01,90.4680
1990-08-01,88.1775
1990-09-01,87.0211
1990-10-01,84.4191
1990-11-01,83.7726
1990-12-01,85.0981
1991-01-01,85.0127
1991-02-01,83.7732
1991-03-01,88.1760
1991-04-01,89.8699
1991-05-01,90.4827
1991-06-01,92.2858
1991-07-01,92.0878
1991-08-01,90.9057
1991-09-01,89.1465
1991-10-01,88.2639
1991-11-01,86.7001
1991-12-01,85.5114
1992-01-01,85.6063
1992-02-01,87.3721
1992-03-01,89.6101
1992-04-01,89.2531
1992-05-01,88.1551
1992-06-01,86.2159
1992-07-01,84.2025
1992-08-01,83.4086
1992-09-01,84.1096
1992-10-01,86.2203
1992-11-01,89.9252
1992-12-01,90.1930
1993-01-01,91.5019
1993-02-01,91.4854
1993-03-01,90.4383
1993-04-01,88.2591
1993-05-01,87.9304
1993-06-01,88.4614
1993-07-01,89.9177
1993-08-01,89.5033
1993-09-01,88.9738
1993-10-01,89.8907
1993-11-01,90.9910
1993-12-01,91.6579
1994-01-01,92.0125
1994-02-01,91.0888
1994-03-01,90.5499
1994-04-01,90.5378
1994-05-01,89.7509
1994-06-01,88.9217
1994-07-01,86.8658
1994-08-01,87.1754
1994-09-01,85.9630
1994-10-01,85.0543
1994-11-01,85.7144
1994-12-01,87.4288
1995-01-01,87.0693
1995-02-01,86.1688
1995-03-01,83.0625
1995-04-01,80.3362
1995-05-01,80.8635
1995-06-01,80.7850
1995-07-01,80.8926
1995-08-01,83.4992
1995-09-01,84.9979
1995-10-01,84.1406
1995-11-01,84.5153
1995-12-01,85.2453
1996-01-01,86.4515
1996-02-01,86.6420
1996-03-01,86.5720
1996-04-01,87.0968
1996-05-01,87.5114
1996-06-01,87.7483
1996-07-01,87.3526
1996-08-01,86.8362
1996-09-01,87.5221
1996-10-01,87.8157
1996-11-01,86.9309
1996-12-01,88.4365
1997-01-01,90.0370
1997-02-01,92.7027
1997-03-01,93.4943
1997-04-01,94.6117
1997-05-01,92.9950
1997-06-01,92.4723
1997-07-01,93.5046
1997-08-01,95.4748
1997-09-01,95.0566
1997-10-01,94.4301
1997-11-01,95.0094
1997-12-01,97.2629
1998-01-01,98.4877
1998-02-01,97.5548
1998-03-01,97.9324
1998-04-01,98.3954
1998-05-01,98.7707
1998-06-01,100.4721
1998-07-01,101.1034
1998-08-01,102.6502
1998-09-01,98.6347
1998-10-01,95.3302
1998-11-01,96.2024
1998-12-01,95.4093
1999-01-01,94.6572
1999-02-01,96.036
1999-03-01,98.0392
1999-04-01,98.1666
1999-05-01,98.2185
1999-06-01,99.065
1999-07-01,99.3562
1999-08-01,97.3265
1999-09-01,95.998
1999-10-01,94.9648
1999-11-01,95.9657
1999-12-01,96.3719
2000-01-01,96.2385
2000-02-01,98.4583
2000-03-01,98.8272
2000-04-01,99.5215
2000-05-01,102.6169
2000-06-01,100.0416
2000-07-01,100.9439
2000-08-01,102.5467
2000-09-01,104.1728
2000-10-01,105.8428
2000-11-01,106.8124
2000-12-01,104.7761
2001-01-01,103.6415
2001-02-01,105.0203
2001-03-01,107.5067
2001-04-01,108.6567
2001-05-01,108.7539
2001-06-01,109.7462
2001-07-01,109.8218
2001-08-01,107.3581
2001-09-01,106.9473
2001-10-01,107.8032
2001-11-01,109.2169
2001-12-01,109.7794
2002-01-01,111.3817
2002-02-01,112.1691
2002-03-01,111.163
2002-04-01,110.3582
2002-05-01,107.3114
2002-06-01,104.518
2002-07-01,101.9745
2002-08-01,103.3988
2002-09-01,103.5872
2002-10-01,104.0872
2002-11-01,102.6163
2002-12-01,101.6043
2003-01-01,98.9759
2003-02-01,97.8841
2003-03-01,97.1703
2003-04-01,96.8236
2003-05-01,92.2556
2003-06-01,91.2138
2003-07-01,93.0044
2003-08-01,94.2304
2003-09-01,92.5163
2003-10-01,88.9261
2003-11-01,88.6025
2003-12-01,86.3309
2004-01-01,84.5821
2004-02-01,85.0562
2004-03-01,86.6056
2004-04-01,87.5935
2004-05-01,89.0798
2004-06-01,87.7052
2004-07-01,86.5625
2004-08-01,86.8152
2004-09-01,86.3632
2004-10-01,84.3904
2004-11-01,81.1077
2004-12-01,80.2393
2005-01-01,81.1769
2005-02-01,81.9351
2005-03-01,81.0021
2005-04-01,82.347
2005-05-01,83.5081
2005-06-01,85.0292
2005-07-01,85.8171
2005-08-01,84.2686
2005-09-01,83.8193
2005-10-01,85.1168
2005-11-01,86.5749
2005-12-01,85.809
2006-01-01,84.5004
2006-02-01,85.2226
2006-03-01,85.1617
2006-04-01,84.0335
2006-05-01,80.7727
2006-06-01,81.652
2006-07-01,82.0409
2006-08-01,81.3093
2006-09-01,81.7012
2006-10-01,82.4985
2006-11-01,81.5993
2006-12-01,81.0066
2007-01-01,82.425
2007-02-01,82.1389
2007-03-01,81.3119
2007-04-01,79.9476
2007-05-01,79.2992
2007-06-01,79.0593
2007-07-01,77.6487
2007-08-01,77.6498
2007-09-01,76.0496
2007-10-01,74.075
2007-11-01,72.2931
2007-12-01,73.8073
2008-01-01,73.1753
2008-02-01,72.6785
2008-03-01,70.3401
2008-04-01,70.4276
2008-05-01,70.6999
2008-06-01,71.3716
2008-07-01,70.857
2008-08-01,74.0644
2008-09-01,75.5583
2008-10-01,80.6114
2008-11-01,82.9962
2008-12-01,80.8081
2009-01-01,81.2458
2009-02-01,83.4824
2009-03-01,84.0095
2009-04-01,82.4675
