DATE,REVOLSL
1990-02-01,216.5046
1990-03-01,217.5894
1990-04-01,219.7696
1990-05-01,223.2762
1990-06-01,225.6648
1990-07-01,229.5863
1990-08-01,232.4149
1990-09-01,234.7250
1990-10-01,236.1706
1990-11-01,239.2941
1990-12-01,238.6426
1991-01-01,238.7148
1991-02-01,242.2881
1991-03-01,246.8408
1991-04-01,248.7439
1991-05-01,250.9310
1991-06-01,252.2464
1991-07-01,253.7203
1991-08-01,255.8927
1991-09-01,258.8122
1991-10-01,261.3482
1991-11-01,262.7773
1991-12-01,263.7686
1992-01-01,265.3865
1992-02-01,266.4821
1992-03-01,266.7557
1992-04-01,267.8292
1992-05-01,268.7518
1992-06-01,270.7076
1992-07-01,270.8176
1992-08-01,272.0805
1992-09-01,273.1770
1992-10-01,275.2076
1992-11-01,275.4598
1992-12-01,278.4497
1993-01-01,280.9948
1993-02-01,283.5313
1993-03-01,284.8904
1993-04-01,286.9761
1993-05-01,288.4706
1993-06-01,289.9613
1993-07-01,294.2320
1993-08-01,296.2642
1993-09-01,299.4480
1993-10-01,301.6541
1993-11-01,306.5640
1993-12-01,309.9080
1994-01-01,312.5217
1994-02-01,315.4137
1994-03-01,319.7774
1994-04-01,325.0157
1994-05-01,329.0976
1994-06-01,334.8528
1994-07-01,339.9455
1994-08-01,347.6707
1994-09-01,350.0839
1994-10-01,352.7790
1994-11-01,362.5927
1994-12-01,365.5696
1995-01-01,372.0032
1995-02-01,378.1034
1995-03-01,385.5599
1995-04-01,389.7436
1995-05-01,398.1640
1995-06-01,406.0874
1995-07-01,409.1413
1995-08-01,417.5657
1995-09-01,429.0322
1995-10-01,433.4504
1995-11-01,436.7402
1995-12-01,443.9201
1996-01-01,449.9947
1996-02-01,455.5974
1996-03-01,461.5920
1996-04-01,465.7816
1996-05-01,470.6598
1996-06-01,474.2624
1996-07-01,479.2670
1996-08-01,483.2931
1996-09-01,486.2848
1996-10-01,490.4416
1996-11-01,497.5115
1996-12-01,507.5166
1997-01-01,510.4703
1997-02-01,511.7136
1997-03-01,511.9561
1997-04-01,511.8646
1997-05-01,514.4811
1997-06-01,515.5662
1997-07-01,520.8964
1997-08-01,524.4448
1997-09-01,528.7224
1997-10-01,532.0443
1997-11-01,534.8078
1997-12-01,540.0056
1998-01-01,537.9425
1998-02-01,538.8943
1998-03-01,541.4475
1998-04-01,560.9068
1998-05-01,559.8341
1998-06-01,561.5505
1998-07-01,560.5539
1998-08-01,564.4204
1998-09-01,568.6157
1998-10-01,572.2893
1998-11-01,571.2078
1998-12-01,581.4148
1999-01-01,585.1770
1999-02-01,585.4540
1999-03-01,585.1572
1999-04-01,585.7344
1999-05-01,588.3777
1999-06-01,594.6107
1999-07-01,600.9954
1999-08-01,603.5289
1999-09-01,606.8866
1999-10-01,608.1415
1999-11-01,610.1018
1999-12-01,610.6965
2000-01-01,614.8466
2000-02-01,617.3326
2000-03-01,622.5110
2000-04-01,625.7359
2000-05-01,631.8572
2000-06-01,639.1586
2000-07-01,646.9270
2000-08-01,656.0219
2000-09-01,661.9968
2000-10-01,667.9482
2000-11-01,673.9947
2000-12-01,682.6464
2001-01-01,686.7615
2001-02-01,697.9825
2001-03-01,702.5608
2001-04-01,707.4470
2001-05-01,709.5905
2001-06-01,712.0026
2001-07-01,707.8900
2001-08-01,706.6913
2001-09-01,707.2626
2001-10-01,705.4085
2001-11-01,712.6587
2001-12-01,714.8407
2002-01-01,714.7815
2002-02-01,714.8221
2002-03-01,719.9560
2002-04-01,725.2277
2002-05-01,728.3641
2002-06-01,732.8134
2002-07-01,736.2645
2002-08-01,740.4895
2002-09-01,743.3264
2002-10-01,747.9396
2002-11-01,749.9062
2002-12-01,750.9475
2003-01-01,754.7894
2003-02-01,758.6013
2003-03-01,759.6552
2003-04-01,760.7524
2003-05-01,763.7047
2003-06-01,763.8149
2003-07-01,764.3887
2003-08-01,766.3244
2003-09-01,766.0419
2003-10-01,765.5352
2003-11-01,765.0079
2003-12-01,768.2583
2004-01-01,770.6725
2004-02-01,772.3623
2004-03-01,778.0925
2004-04-01,775.5548
2004-05-01,778.0887
2004-06-01,779.7312
2004-07-01,786.0871
2004-08-01,787.0117
2004-09-01,793.6358
2004-10-01,796.6965
2004-11-01,797.1850
2004-12-01,799.5522
2005-01-01,804.6358
2005-02-01,804.1073
2005-03-01,804.6400
2005-04-01,810.5584
2005-05-01,809.2116
2005-06-01,814.1817
2005-07-01,814.9085
2005-08-01,817.8424
2005-09-01,819.6518
2005-10-01,821.0827
2005-11-01,825.8781
2005-12-01,829.5184
2006-01-01,879.5771
2006-02-01,885.2897
2006-03-01,888.2436
2006-04-01,893.5269
2006-05-01,899.4713
2006-06-01,897.4833
2006-07-01,898.6766
2006-08-01,903.9243
2006-09-01,907.8144
2006-10-01,911.6145
2006-11-01,917.3462
2006-12-01,923.8768
2007-01-01,927.6295
2007-02-01,933.3558
2007-03-01,938.4636
2007-04-01,941.3865
2007-05-01,950.6260
2007-06-01,953.9251
2007-07-01,958.3223
2007-08-01,968.2256
2007-09-01,975.4998
2007-10-01,982.8529
2007-11-01,994.5653
2007-12-01,1001.6253
2008-01-01,1008.0345
2008-02-01,1014.9445
2008-03-01,1016.772
2008-04-01,1018.532
2008-05-01,1019.637
2008-06-01,1019.3221
2008-07-01,1018.3639
2008-08-01,1017.4305
2008-09-01,1012.5609
2008-10-01,1016.4613
2008-11-01,1010.4821
2008-12-01,1003.9970
2009-01-01,1006.4806
2009-02-01,997.3585
2009-03-01,984.4185
2009-04-01,979.0441
2009-05-01,967.7682
2009-06-01,963.445
2009-07-01,959.5704
2009-08-01,950.6478
2009-09-01,946.4888
2009-10-01,938.7049
2009-11-01,924.5509
2009-12-01,916.0766
2010-01-01,909.229
2010-02-01,902.1847
2010-03-01,898.3444
2010-04-01,893.4437
2010-05-01,884.8309
2010-06-01,877.1601
2010-07-01,871.3631
2010-08-01,865.4119
2010-09-01,859.6317
2010-10-01,853.3163
2010-11-01,850.1305
2010-12-01,839.1027
2011-01-01,835.2907
2011-02-01,833.7576
2011-03-01,835.9953
2011-04-01,831.697
2011-05-01,834.0258
2011-06-01,836.5885
2011-07-01,835.7047
2011-08-01,835.5603
2011-09-01,837.0348
2011-10-01,837.0297
2011-11-01,841.8831
2011-12-01,840.6282
2012-01-01,840.6366
2012-02-01,841.9634
2012-03-01,841.6105
2012-04-01,838.7035
2012-05-01,844.2962
2012-06-01,842.6094
2012-07-01,840.5428
2012-08-01,844.7529
2012-09-01,843.8465
2012-10-01,846.5402
2012-11-01,848.6179
2012-12-01,844.2509
2013-01-01,847.782
2013-02-01,850.8006
2013-03-01,849.581
2013-04-01,848.8622
2013-05-01,851.9372
2013-06-01,850.0516
2013-07-01,850.4797
2013-08-01,851.2144
2013-09-01,852.1068
2013-10-01,855.3562
2013-11-01,853.6643
2013-12-01,855.5928
2014-01-01,859.2919
2014-02-01,861.8839
2014-03-01,863.5308
2014-04-01,871.1128
2014-05-01,874.0117
2014-06-01,874.6168
2014-07-01,879.9411
2014-08-01,881.0703
2014-09-01,881.922
2014-10-01,884.2157
2014-11-01,884.8912
2014-12-01,889.1206
2015-01-01,890.4086
2015-02-01,890.8756
2015-03-01,896.4765
2015-04-01,902.949
2015-05-01,905.1524
2015-06-01,910.7962
2015-07-01,914.7752
2015-08-01,917.7592
2015-09-01,923.8293
2015-10-01,926.083
2015-11-01,931.7762
2015-12-01,907.9144
2016-01-01,911.0971
2016-02-01,913.0882
2016-03-01,923.7696
2016-04-01,927.264
2016-05-01,931.0958
2016-06-01,938.4836
2016-07-01,942.7708
2016-08-01,948.2773
2016-09-01,952.1502
2016-10-01,954.8522
2016-11-01,967.5528
2016-12-01,969.4246
2017-01-01,971.759
2017-02-01,977.2034
2017-03-01,980.3621
2017-04-01,981.5099
2017-05-01,988.3204
2017-06-01,991.4562
2017-07-01,993.3294
2017-08-01,998.3191
2017-09-01,1003.4616
2017-10-01,1010.9371
2017-11-01,1023.3412
2017-12-01,1028.5495
2018-01-01,1029.3397
2018-02-01,1029.5352
2018-03-01,1028.468
2018-04-01,1029.5624
2018-05-01,1039.3141
