DATE,IPMAN
1994-02-01,65.1336
1994-03-01,66.0145
1994-04-01,66.5958
1994-05-01,67.0608
1994-06-01,67.2811
1994-07-01,67.5985
1994-08-01,68.1093
1994-09-01,68.4335
1994-10-01,69.1639
1994-11-01,69.7089
1994-12-01,70.5013
1995-01-01,70.6324
1995-02-01,70.4245
1995-03-01,70.6007
1995-04-01,70.4932
1995-05-01,70.6294
1995-06-01,70.9750
1995-07-01,70.5181
1995-08-01,71.3401
1995-09-01,71.9943
1995-10-01,71.9737
1995-11-01,72.0470
1995-12-01,72.3691
1996-01-01,71.8204
1996-02-01,72.9706
1996-03-01,72.8256
1996-04-01,73.6724
1996-05-01,74.2493
1996-06-01,75.0792
1996-07-01,75.3075
1996-08-01,75.6847
1996-09-01,76.3523
1996-10-01,76.2233
1996-11-01,76.8785
1996-12-01,77.5495
1997-01-01,77.5900
1997-02-01,78.6804
1997-03-01,79.5253
1997-04-01,79.3725
1997-05-01,79.9639
1997-06-01,80.4705
1997-07-01,80.9910
1997-08-01,82.0555
1997-09-01,82.7610
1997-10-01,83.4791
1997-11-01,84.4277
1997-12-01,84.7837
1998-01-01,85.5532
1998-02-01,85.6117
1998-03-01,85.4634
1998-04-01,85.8617
1998-05-01,86.3168
1998-06-01,85.6056
1998-07-01,85.2092
1998-08-01,87.3803
1998-09-01,87.2325
1998-10-01,88.0883
1998-11-01,88.2104
1998-12-01,88.7295
1999-01-01,89.0205
1999-02-01,89.7917
1999-03-01,89.7115
1999-04-01,90.1159
1999-05-01,90.9185
1999-06-01,90.6321
1999-07-01,91.0983
1999-08-01,91.5629
1999-09-01,91.1391
1999-10-01,92.5667
1999-11-01,93.1440
1999-12-01,93.7864
2000-01-01,93.9291
2000-02-01,94.1561
2000-03-01,94.7768
2000-04-01,95.5148
2000-05-01,95.4372
2000-06-01,95.6248
2000-07-01,95.7480
2000-08-01,95.1218
2000-09-01,95.5694
2000-10-01,95.3415
2000-11-01,95.0922
2000-12-01,94.5865
2001-01-01,94.0439
2001-02-01,93.5783
2001-03-01,93.3825
2001-04-01,93.0433
2001-05-01,92.3779
2001-06-01,91.7478
2001-07-01,91.2562
2001-08-01,90.8653
2001-09-01,90.6689
2001-10-01,90.1404
2001-11-01,89.9289
2001-12-01,90.1704
2002-01-01,90.7395
2002-02-01,90.7463
2002-03-01,91.5200
2002-04-01,91.7528
2002-05-01,92.2570
2002-06-01,93.3534
2002-07-01,93.0071
2002-08-01,93.2201
2002-09-01,93.3557
2002-10-01,93.0197
2002-11-01,93.4729
2002-12-01,92.9124
2003-01-01,93.4213
2003-02-01,93.5476
2003-03-01,93.7127
2003-04-01,92.9716
2003-05-01,93.0688
2003-06-01,93.5455
2003-07-01,93.8245
2003-08-01,93.5350
